IID	Gcir_Quzhou_2022_Natural
Agron	17.94
Alba	NA
Albatross	17.597
Alcedo	NA
Alert	NA
Almus	16.128
Altria	17.31
ArinaLrFor	NA
Arminda	17.479
Aronde	NA
Avalon	NA
Aztec	16.764
WATDE0003	14.40
WATDE0010	NA
WATDE0339	16.81
WATDE0459	17.50
WATDE0476	16.96
WATDE0526	17.88
WATDE0532	17.03
WATDE0576	15.56
WATDE0612	15.60
WATDE0061	17.71
WATDE0668	17.59
WATDE0714	16.39
WATDE0762	18.61
WATDE0801	17.82
WATDE0868	16.45
WATDE0100	15.76
WATDE1030	16.44
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	17.655
Capo	17.221
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	18.377
Charger	16.631
Chinese_Spring	NA
Cimcog26	16.308
Cimcog3	NA
Cimcog47	17.982
Cimcog56	18.651
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	17.743
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	15.369
Equinox	17.564
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	16.268
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	16.068
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	16.927
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	16.162
Iena	17.436
Ikarus	16.218
Jagger	NA
Joss_Cambier	17.692
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	16.517
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	17.292
Mahndorfer	NA
Marco	NA
Maris_Dove	15.336
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	18.3
Muck	NA
Multiweiss	NA
Nautica	16.954
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	17.282
Opata	17.149
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	17.01
Pepital	NA
Peragis	18.261
Perlo	NA
Pfau	17.287
Pomerelle	16.861
Pony	17.24
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	16.783
Recital	15.712
Record	NA
Red_Fife	NA
Reedling	18.076
Regent	16.686
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	17.373
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	18.194
Shamrock	15.733
Shango	NA
Sicco	15.106
Slejpner	NA
Soissons	16.805
Soleil	17.491
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	17.556
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	17.079
Tanker	NA
Taras	16.91
Thatcher	NA
Thor	NA
Titus	18.138
Top	NA
Torfrida	17.612
Trafalgar	NA
Treasure	17.983
Tremie	NA
Triumph_NDL	NA
Tschermaks	17.312
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	16.53
WATDE0002	16.98
WATDE0004	15.94
WATDE0005	NA
WATDE0006	16.80
WATDE0007	NA
WATDE0008	17.46
WATDE0009	17.71
WATDE0011	14.25
WATDE0012	16.70
WATDE0013	18.32
WATDE0014	17.69
WATDE0015	16.04
WATDE0016	16.12
WATDE0017	17.46
WATDE0018	16.81
WATDE0019	18.36
WATDE0020	14.94
WATDE0021	18.77
WATDE0022	16.37
WATDE0023	15.64
WATDE0024	17.29
WATDE0025	17.46
WATDE0026	17.39
WATDE0027	17.31
WATDE0028	15.94
WATDE0029	NA
WATDE0030	NA
WATDE0031	15.97
WATDE0032	15.74
WATDE0033	14.94
WATDE0034	17.25
WATDE0035	NA
WATDE0036	17.65
WATDE0037	17.59
WATDE0038	NA
WATDE0040	NA
WATDE0041	16.11
WATDE0042	15.97
WATDE0043	18.09
WATDE0044	18.06
WATDE0045	13.79
WATDE0046	16.69
WATDE0047	14.65
WATDE0048	16.51
WATDE0049	17.68
WATDE0050	17.21
WATDE0051	15.04
WATDE0052	19.60
WATDE0053	17.71
WATDE0054	16.49
WATDE0055	18.41
WATDE0056	16.95
WATDE0057	17.08
WATDE0058	15.14
WATDE0059	16.57
WATDE0060	16.69
WATDE0062	19.03
WATDE0063	18.03
WATDE0064	17.76
WATDE0065	16.66
WATDE0066	16.76
WATDE0067	16.57
WATDE0068	17.31
WATDE0069	17.83
WATDE0070	18.35
WATDE0071	17.91
WATDE0072	17.90
WATDE0073	14.57
WATDE0074	18.31
WATDE0075	14.85
WATDE0076	17.55
WATDE0077	16.33
WATDE0078	16.87
WATDE0079	16.87
WATDE0080	19.82
WATDE0081	NA
WATDE0082	14.67
WATDE0083	17.05
WATDE0084	15.93
WATDE0085	16.78
WATDE0086	17.60
WATDE0087	18.02
WATDE0088	15.83
WATDE0089	22.61
WATDE0090	14.82
WATDE0091	14.84
WATDE0092	17.56
WATDE0093	NA
WATDE0094	14.64
WATDE0095	14.64
WATDE0096	16.94
WATDE0097	16.15
WATDE0098	17.44
WATDE0099	15.54
WATDE0101	14.68
WATDE0102	17.69
WATDE0103	15.03
WATDE0104	18.18
WATDE0105	14.60
WATDE0106	17.32
WATDE0107	16.08
WATDE0108	15.95
WATDE0109	17.05
WATDE0110	15.58
WATDE0111	15.46
WATDE0112	15.63
WATDE0113	14.93
WATDE0114	16.09
WATDE0115	14.38
WATDE0116	16.17
WATDE0117	15.03
WATDE0118	13.86
WATDE0119	15.84
WATDE0120	17.19
WATDE0121	17.35
WATDE0122	17.45
WATDE0123	18.23
WATDE0124	17.83
WATDE0126	17.02
WATDE0127	17.26
WATDE0129	16.60
WATDE0131	16.15
WATDE0133	16.86
WATDE0134	16.80
WATDE0136	16.47
WATDE0138	17.49
WATDE0140	16.23
WATDE0141	17.45
WATDE0143	NA
WATDE0144	15.08
WATDE0145	14.99
WATDE0146	15.03
WATDE0148	17.94
WATDE0149	15.20
WATDE0150	16.69
WATDE0151	16.66
WATDE0152	16.78
WATDE0153	15.82
WATDE0154	15.88
WATDE0156	17.43
WATDE0157	15.39
WATDE0158	17.56
WATDE0159	16.64
WATDE0160	16.37
WATDE0162	16.93
WATDE0164	16.86
WATDE0165	15.91
WATDE0168	17.23
WATDE0169	17.70
WATDE0171	NA
WATDE0173	18.61
WATDE0174	18.97
WATDE0175	19.33
WATDE0176	15.80
WATDE0177	18.56
WATDE0178	17.61
WATDE0180	17.26
WATDE0181	18.20
WATDE0182	17.10
WATDE0183	16.67
WATDE0184	NA
WATDE0185	17.57
WATDE0187	NA
WATDE0188	18.88
WATDE0190	16.92
WATDE0191	14.93
WATDE0192	15.09
WATDE0194	17.10
WATDE0195	17.97
WATDE0196	18.76
WATDE0198	18.18
WATDE0199	17.12
WATDE0200	20.14
WATDE0202	17.02
WATDE0203	16.00
WATDE0204	17.87
WATDE0205	18.03
WATDE0206	17.44
WATDE0207	16.91
WATDE0209	15.65
WATDE0211	16.28
WATDE0212	17.06
WATDE0214	15.59
WATDE0215	16.11
WATDE0216	17.42
WATDE0217	17.11
WATDE0219	15.01
WATDE0220	17.53
WATDE0221	16.11
WATDE0222	18.75
WATDE0223	15.94
WATDE0224	15.58
WATDE0225	16.36
WATDE0227	16.60
WATDE0228	16.69
WATDE0229	17.28
WATDE0230	16.19
WATDE0232	16.20
WATDE0233	16.52
WATDE0234	15.53
WATDE0235	NA
WATDE0236	15.98
WATDE0237	17.65
WATDE0238	16.53
WATDE0239	16.73
WATDE0241	NA
WATDE0242	17.95
WATDE0243	NA
WATDE0244	17.63
WATDE0246	17.87
WATDE0247	17.46
WATDE0248	16.13
WATDE0249	17.07
WATDE0250	17.30
WATDE0252	17.76
WATDE0253	17.21
WATDE0254	18.15
WATDE0255	17.74
WATDE0257	16.64
WATDE0258	17.59
WATDE0259	17.19
WATDE0260	17.27
WATDE0262	15.79
WATDE0263	15.52
WATDE0264	NA
WATDE0266	17.59
WATDE0268	17.48
WATDE0270	17.86
WATDE0271	15.94
WATDE0272	17.41
WATDE0273	17.34
WATDE0275	16.41
WATDE0276	18.12
WATDE0277	16.61
WATDE0278	16.03
WATDE0280	16.96
WATDE0281	16.90
WATDE0282	15.54
WATDE0284	16.97
WATDE0285	16.91
WATDE0286	15.99
WATDE0287	16.07
WATDE0288	15.35
WATDE0290	NA
WATDE0291	17.52
WATDE0292	17.97
WATDE0293	17.70
WATDE0294	16.81
WATDE0296	17.69
WATDE0298	NA
WATDE0299	17.29
WATDE0301	17.41
WATDE0302	17.35
WATDE0303	NA
WATDE0304	16.60
WATDE0305	16.77
WATDE0306	16.86
WATDE0308	15.02
WATDE0310	14.97
WATDE0312	16.12
WATDE0313	16.88
WATDE0315	16.63
WATDE0316	15.14
WATDE0317	16.78
WATDE0318	17.53
WATDE0319	15.84
WATDE0321	17.18
WATDE0323	NA
WATDE0324	17.77
WATDE0325	17.43
WATDE0328	17.11
WATDE0329	16.47
WATDE0331	16.61
WATDE0332	14.45
WATDE0333	14.69
WATDE0334	19.14
WATDE0335	17.19
WATDE0336	16.53
WATDE0337	16.53
WATDE0340	16.50
WATDE0342	16.21
