IID	GrnSpk_Quzhou_2022_Natural
Agron	NA
Alba	52.67
Albatross	49.67
Alcedo	52.33
Alert	63.67
Almus	NA
Altria	66.67
ArinaLrFor	NA
Arminda	55.67
Aronde	53.33
Avalon	70.33
Aztec	65.67
WATDE0003	41.00
WATDE0010	NA
WATDE0339	39.00
WATDE0459	29.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	37.67
WATDE0576	40.00
WATDE0612	33.33
WATDE0061	23.67
WATDE0668	NA
WATDE0714	41.67
WATDE0762	30.00
WATDE0801	28.33
WATDE0868	31.33
WATDE0100	36.00
WATDE1030	34.67
Banco	64.00
Bandit	51.33
Banner	NA
Beauchamp	NA
Beaver	64.67
Becard_Kachu	NA
Bersee	53.67
Boreonos	NA
Bounty	64.00
Boxer	62.33
Buster	53.33
Calif	NA
Camp_Remy	53.33
Capitiane	44.00
Capo	NA
Cappelle_Desprez	37.00
Catamaran	50.33
Cezanne	59.00
Charger	56.33
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	64.67
Courtot	72.33
Crest	61.33
Crusoe	53.33
Diablo	59.33
Diplomat	49.67
Disponent	59.33
Dorby	46.33
Drake	52.33
Drauhofener_Kolben	56.00
Druid	67.33
Encore	60.00
Equinox	67.33
Erla-Kolben	46.00
Erland	NA
Eros	62.67
Expert	NA
Extrem	NA
Fanal	63.67
Felix	62.33
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	67.00
Florida	62.00
Gabo	38.67
Galahad	63.00
Garcia	NA
Gawain	51.33
Glasgow	77.67
Grafton	NA
Granada	63.00
Haven	60.00
Heine7	62.00
Hereward	55.67
Highbury	61.33
Hobbit	50.00
Holdfast	52.00
Hybrid46	55.67
Ibis	NA
Iena	NA
Ikarus	55.00
Jagger	NA
Joss_Cambier	69.67
Julius	NA
KWS_Santiago	64.33
Karat	NA
Koga1	NA
Kontrast	65.33
Kosack	59.67
Kranich	86.33
Lancelot	32.33
Leda	54.00
Legend	64.67
Longbow	56.33
Lutin	51.67
MISR1	NA
Mahndorfer	41.00
Marco	60.33
Maris_Dove	57.67
Maris_Widgeon	59.00
MarisHuntsman	50.67
Maris_ranger	51.33
Minister	61.33
Mironovska	58.67
Moisson	NA
Muck	NA
Multiweiss	58.67
Nautica	62.00
Newhaven	52.33
Norda	65.67
Norin	NA
Obelisk	56.67
Odeon	54.67
Odin	64.67
Oenus	58.67
Opata	44.67
Orlando	53.00
Palur	56.33
Pamyat	56.33
Pastiche	46.67
Pavon76	55.33
Pepital	NA
Peragis	39.67
Perlo	52.33
Pfau	NA
Pomerelle	51.33
Pony	67.67
Prof_Marshall	48.67
Prophet	NA
Rabe	61.33
Rebel	75.67
Recital	64.67
Record	45.67
Red_Fife	60.67
Reedling	NA
Regent	54.67
Renan	NA
Rendezvous	71.00
Revelation	NA
Riband	NA
Rimpaus_Bastard2	56.00
RitzlhoferNeu	56.33
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	67.33
Shamrock	66.33
Shango	NA
Sicco	71.67
Slejpner	70.33
Soissons	NA
Soleil	66.00
Spark	53.33
Sperber	56.00
Spitfire	54.33
Sportsman	48.00
Stamm101	34.00
Starke2	66.00
Stava	25.33
Stella	70.67
Super152	NA
Svale	53.33
Tadorna	59.33
Talent	56.33
Tambor	50.33
Tandem	69.33
Tanker	47.67
Taras	54.67
Thatcher	62.67
Thor	66.00
Titus	50.00
Top	75.67
Torfrida	53.33
Trafalgar	NA
Treasure	54.00
Tremie	50.67
Triumph_NDL	NA
Tschermaks	NA
Turpin	43.33
Urban	53.67
Vaguedepis	62.33
Vilmorin53	50.33
Vilmorin27	45.33
Virgo	NA
Vocal	79.00
Voyage	62.00
WATDE0001	30.00
WATDE0002	45.67
WATDE0004	37.33
WATDE0005	37.00
WATDE0006	44.00
WATDE0007	NA
WATDE0008	29.67
WATDE0009	NA
WATDE0011	36.00
WATDE0012	35.00
WATDE0013	NA
WATDE0014	46.67
WATDE0015	43.50
WATDE0016	35.50
WATDE0017	35.33
WATDE0018	NA
WATDE0019	54.67
WATDE0020	42.67
WATDE0021	32.00
WATDE0022	36.67
WATDE0023	37.67
WATDE0024	48.67
WATDE0025	29.33
WATDE0026	27.00
WATDE0027	23.00
WATDE0028	26.67
WATDE0029	NA
WATDE0030	NA
WATDE0031	41.00
WATDE0032	NA
WATDE0033	37.00
WATDE0034	32.00
WATDE0035	NA
WATDE0036	26.33
WATDE0037	36.33
WATDE0038	NA
WATDE0040	NA
WATDE0041	39.00
WATDE0042	50.33
WATDE0043	33.33
WATDE0044	39.67
WATDE0045	55.67
WATDE0046	28.67
WATDE0047	38.00
WATDE0048	33.67
WATDE0049	32.33
WATDE0050	39.33
WATDE0051	NA
