IID	GrnSpl_Quzhou_2022_Natural
Agron	NA
Alba	3.00
Albatross	3.33
Alcedo	4.00
Alert	4.00
Almus	NA
Altria	4.00
ArinaLrFor	NA
Arminda	3.33
Aronde	3.00
Avalon	4.00
Aztec	4.00
WATDE0003	3.33
WATDE0010	NA
WATDE0339	2.67
WATDE0459	2.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	3.00
WATDE0576	3.00
WATDE0612	3.00
WATDE0061	2.33
WATDE0668	NA
WATDE0714	3.00
WATDE0762	2.00
WATDE0801	2.00
WATDE0868	2.33
WATDE0100	2.00
WATDE1030	3.00
Banco	3.33
Bandit	3.33
Banner	NA
Beauchamp	NA
Beaver	3.67
Becard_Kachu	NA
Bersee	3.00
Boreonos	NA
Bounty	4.00
Boxer	4.00
Buster	3.33
Calif	NA
Camp_Remy	3.00
Capitiane	3.00
Capo	NA
Cappelle_Desprez	2.33
Catamaran	3.33
Cezanne	4.00
Charger	3.67
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	4.00
Courtot	3.67
Crest	4.00
Crusoe	3.67
Diablo	3.67
Diplomat	2.67
Disponent	3.00
Dorby	3.00
Drake	3.33
Drauhofener_Kolben	3.33
Druid	4.33
Encore	4.00
Equinox	3.67
Erla-Kolben	3.00
Erland	NA
Eros	3.00
Expert	NA
Extrem	NA
Fanal	3.00
Felix	3.00
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	3.67
Florida	4.00
Gabo	3.00
Galahad	3.00
Garcia	NA
Gawain	3.00
Glasgow	3.67
Grafton	NA
Granada	4.00
Haven	4.00
Heine7	4.00
Hereward	3.00
Highbury	3.33
Hobbit	3.67
Holdfast	3.00
Hybrid46	3.00
Ibis	NA
Iena	NA
Ikarus	3.33
Jagger	NA
Joss_Cambier	4.00
Julius	NA
KWS_Santiago	3.33
Karat	NA
Koga1	NA
Kontrast	4.00
Kosack	3.33
Kranich	4.00
Lancelot	2.67
Leda	3.00
Legend	4.00
Longbow	3.00
Lutin	3.67
MISR1	NA
Mahndorfer	3.00
Marco	3.00
Maris_Dove	3.67
Maris_Widgeon	3.33
MarisHuntsman	3.00
Maris_ranger	3.00
Minister	3.00
Mironovska	3.67
Moisson	NA
