IID	GrwHabit_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	4.00
WATDE0459	45.09
WATDE0476	15.00
WATDE0526	NA
WATDE0532	NA
WATDE0576	30.00
WATDE0612	NA
WATDE0061	10.83
WATDE0668	NA
WATDE0714	44.43
WATDE0762	4.00
WATDE0801	26.11
WATDE0868	25.85
WATDE0100	60.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	40.43
WATDE0002	NA
WATDE0004	37.25
WATDE0005	48.73
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	41.84
WATDE0014	NA
WATDE0015	58.23
WATDE0016	NA
WATDE0017	NA
WATDE0018	32.17
WATDE0019	NA
WATDE0020	33.89
WATDE0021	NA
WATDE0022	NA
WATDE0023	42.39
WATDE0024	NA
WATDE0025	25.54
WATDE0026	45.29
WATDE0027	34.93
WATDE0028	38.72
WATDE0029	NA
WATDE0030	NA
WATDE0031	30.20
WATDE0032	50.03
WATDE0033	44.93
WATDE0034	20.88
WATDE0035	NA
WATDE0036	41.37
WATDE0037	43.85
WATDE0038	NA
WATDE0040	NA
WATDE0041	53.13
WATDE0042	23.53
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	41.77
WATDE0048	NA
WATDE0049	23.74
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	NA
WATDE0054	39.36
WATDE0055	10.16
WATDE0056	20.72
WATDE0057	42.71
WATDE0058	43.05
WATDE0059	NA
WATDE0060	14.34
WATDE0062	45.60
WATDE0063	28.48
WATDE0064	26.76
WATDE0065	NA
WATDE0066	30.77
WATDE0067	NA
WATDE0068	20.39
WATDE0069	50.33
WATDE0070	NA
WATDE0071	36.39
WATDE0072	43.42
WATDE0073	NA
WATDE0074	55.81
WATDE0075	28.50
WATDE0076	39.67
WATDE0077	34.76
WATDE0078	20.00
WATDE0079	NA
WATDE0080	24.95
WATDE0081	NA
WATDE0082	NA
WATDE0083	29.91
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	1.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	63.46
WATDE0092	46.93
WATDE0093	32.25
WATDE0094	20.92
WATDE0095	10.73
WATDE0096	24.55
WATDE0097	34.19
WATDE0098	37.25
WATDE0099	28.72
WATDE0101	54.66
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	20.36
WATDE0106	NA
WATDE0107	24.25
WATDE0108	NA
WATDE0109	NA
WATDE0110	25.46
WATDE0111	19.37
WATDE0112	60.06
WATDE0113	18.75
WATDE0114	30.30
WATDE0115	36.85
WATDE0116	43.53
WATDE0117	NA
WATDE0118	22.41
WATDE0119	NA
WATDE0120	NA
WATDE0121	48.50
WATDE0122	16.11
WATDE0123	41.33
WATDE0124	NA
WATDE0126	38.05
WATDE0127	4.00
WATDE0129	35.67
WATDE0131	36.10
WATDE0133	2.00
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
