IID	Hd_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	71.00
WATDE0476	133.00
WATDE0526	164.00
WATDE0532	NA
WATDE0576	75.00
WATDE0612	143.00
WATDE0061	117.00
WATDE0668	134.00
WATDE0714	77.67
WATDE0762	139.00
WATDE0801	128.00
WATDE0868	141.00
WATDE0100	122.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	62.67
WATDE0002	123.00
WATDE0004	NA
WATDE0005	NA
WATDE0006	120.33
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	119.00
WATDE0012	117.20
WATDE0013	139.00
WATDE0014	131.60
WATDE0015	118.00
WATDE0016	84.67
WATDE0017	136.00
WATDE0018	130.00
WATDE0019	146.00
WATDE0020	139.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	118.00
WATDE0024	NA
WATDE0025	129.00
WATDE0026	74.00
WATDE0027	77.50
WATDE0028	71.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	164.00
WATDE0032	139.00
WATDE0033	68.00
WATDE0034	134.00
WATDE0035	NA
WATDE0036	125.00
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	118.00
WATDE0042	154.00
WATDE0043	113.00
WATDE0044	125.00
WATDE0045	NA
WATDE0046	NA
WATDE0047	143.00
WATDE0048	NA
WATDE0049	130.33
WATDE0050	NA
WATDE0051	NA
WATDE0052	166.00
WATDE0053	123.00
WATDE0054	137.50
WATDE0055	134.67
WATDE0056	124.00
WATDE0057	67.00
WATDE0058	78.00
WATDE0059	116.33
WATDE0060	143.00
WATDE0062	134.00
WATDE0063	57.00
WATDE0064	71.67
WATDE0065	128.50
WATDE0066	125.00
WATDE0067	NA
WATDE0068	NA
WATDE0069	134.00
WATDE0070	164.00
WATDE0071	128.00
WATDE0072	128.00
WATDE0073	167.00
WATDE0074	67.00
WATDE0075	137.00
WATDE0076	158.00
WATDE0077	65.50
WATDE0078	126.00
WATDE0079	128.33
WATDE0080	78.00
WATDE0081	NA
WATDE0082	NA
WATDE0083	129.00
WATDE0084	123.00
WATDE0085	119.33
WATDE0086	NA
WATDE0087	136.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	167.00
WATDE0091	134.00
WATDE0092	131.00
WATDE0093	135.33
WATDE0094	156.00
WATDE0095	94.67
WATDE0096	157.50
WATDE0097	155.00
WATDE0098	87.50
WATDE0099	127.00
WATDE0101	134.00
WATDE0102	NA
WATDE0103	133.67
WATDE0104	123.00
WATDE0105	100.67
WATDE0106	143.00
WATDE0107	64.00
WATDE0108	172.00
WATDE0109	137.50
WATDE0110	63.50
WATDE0111	67.33
WATDE0112	72.67
WATDE0113	97.67
WATDE0114	128.00
WATDE0115	76.00
WATDE0116	129.00
WATDE0117	158.00
WATDE0118	123.67
WATDE0119	111.67
WATDE0120	130.00
WATDE0121	118.00
WATDE0122	139.00
WATDE0123	123.00
WATDE0124	123.00
WATDE0126	136.00
WATDE0127	141.00
WATDE0129	128.00
WATDE0131	121.00
WATDE0133	NA
