IID	LAI_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	1.27
WATDE0010	NA
WATDE0339	NA
WATDE0459	2.12
WATDE0476	3.08
WATDE0526	NA
WATDE0532	3.27
WATDE0576	2.59
WATDE0612	2.46
WATDE0061	2.00
WATDE0668	2.25
WATDE0714	4.70
WATDE0762	3.28
WATDE0801	1.82
WATDE0868	NA
WATDE0100	2.48
WATDE1030	3.02
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.98
WATDE0002	2.09
WATDE0004	2.47
WATDE0005	2.38
WATDE0006	1.99
WATDE0007	NA
WATDE0008	1.35
WATDE0009	2.46
WATDE0011	2.49
WATDE0012	3.16
WATDE0013	4.29
WATDE0014	NA
WATDE0015	1.90
WATDE0016	2.48
WATDE0017	NA
WATDE0018	1.87
WATDE0019	NA
WATDE0020	2.18
WATDE0021	2.99
WATDE0022	NA
WATDE0023	3.04
WATDE0024	NA
WATDE0025	4.05
WATDE0026	3.21
WATDE0027	0.67
WATDE0028	2.55
WATDE0029	NA
WATDE0030	NA
WATDE0031	3.12
WATDE0032	1.76
WATDE0033	3.54
WATDE0034	1.93
WATDE0035	NA
WATDE0036	2.20
WATDE0037	1.58
WATDE0038	NA
WATDE0040	NA
WATDE0041	2.64
WATDE0042	1.51
WATDE0043	3.33
WATDE0044	NA
WATDE0045	3.78
WATDE0046	3.04
WATDE0047	1.45
WATDE0048	NA
WATDE0049	2.57
WATDE0050	NA
WATDE0051	2.84
WATDE0052	NA
WATDE0053	1.51
WATDE0054	1.71
WATDE0055	1.47
WATDE0056	2.13
WATDE0057	4.07
WATDE0058	1.71
WATDE0059	NA
WATDE0060	1.64
WATDE0062	1.75
WATDE0063	2.68
WATDE0064	1.74
WATDE0065	4.82
WATDE0066	2.81
WATDE0067	2.24
WATDE0068	2.57
WATDE0069	1.04
WATDE0070	2.73
WATDE0071	1.11
WATDE0072	1.01
WATDE0073	2.45
WATDE0074	2.81
WATDE0075	2.28
WATDE0076	2.40
WATDE0077	2.63
WATDE0078	3.03
WATDE0079	3.11
WATDE0080	1.03
WATDE0081	NA
WATDE0082	1.69
WATDE0083	2.88
WATDE0084	2.30
WATDE0085	1.23
WATDE0086	2.63
WATDE0087	2.56
WATDE0088	2.45
WATDE0089	NA
WATDE0090	1.66
WATDE0091	2.43
WATDE0092	1.96
WATDE0093	1.66
WATDE0094	2.92
WATDE0095	2.91
WATDE0096	1.09
WATDE0097	2.79
WATDE0098	3.61
WATDE0099	3.41
WATDE0101	3.32
WATDE0102	3.10
WATDE0103	2.43
WATDE0104	NA
WATDE0105	2.16
WATDE0106	1.91
WATDE0107	2.75
WATDE0108	3.00
WATDE0109	1.95
WATDE0110	2.93
WATDE0111	2.45
WATDE0112	1.81
WATDE0113	2.44
WATDE0114	1.32
WATDE0115	2.05
WATDE0116	1.82
WATDE0117	3.72
WATDE0118	2.95
WATDE0119	2.70
WATDE0120	NA
WATDE0121	2.46
WATDE0122	2.81
WATDE0123	2.98
WATDE0124	2.38
WATDE0126	2.43
WATDE0127	1.78
WATDE0129	1.82
WATDE0131	3.21
WATDE0133	3.50
