IID	LS_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	2.00
WATDE0010	NA
WATDE0339	1.00
WATDE0459	1.00
WATDE0476	1.00
WATDE0526	NA
WATDE0532	1.00
WATDE0576	1.00
WATDE0612	2.00
WATDE0061	1.00
WATDE0668	1.00
WATDE0714	1.00
WATDE0762	1.00
WATDE0801	3.00
WATDE0868	4.00
WATDE0100	1.00
WATDE1030	1.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	0.00
WATDE0002	1.00
WATDE0004	1.00
WATDE0005	1.00
WATDE0006	3.00
WATDE0007	NA
WATDE0008	2.00
WATDE0009	3.00
WATDE0011	0.00
WATDE0012	1.00
WATDE0013	0.00
WATDE0014	NA
WATDE0015	2.00
WATDE0016	2.00
WATDE0017	0.00
WATDE0018	2.00
WATDE0019	NA
WATDE0020	3.00
WATDE0021	0.00
WATDE0022	1.00
WATDE0023	1.00
WATDE0024	NA
WATDE0025	0.00
WATDE0026	1.00
WATDE0027	1.00
WATDE0028	2.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.00
WATDE0032	0.00
WATDE0033	1.00
WATDE0034	1.00
WATDE0035	NA
WATDE0036	1.00
WATDE0037	1.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.00
WATDE0042	1.00
WATDE0043	1.00
WATDE0044	NA
WATDE0045	2.00
WATDE0046	1.00
WATDE0047	2.00
WATDE0048	0.00
WATDE0049	1.00
WATDE0050	NA
WATDE0051	2.00
WATDE0052	NA
WATDE0053	2.00
WATDE0054	2.00
WATDE0055	2.00
WATDE0056	1.00
WATDE0057	1.00
WATDE0058	1.00
WATDE0059	1.00
WATDE0060	1.00
WATDE0062	1.00
WATDE0063	1.00
WATDE0064	2.00
WATDE0065	1.00
WATDE0066	1.00
WATDE0067	1.00
WATDE0068	1.00
WATDE0069	1.00
WATDE0070	1.00
WATDE0071	0.00
WATDE0072	1.00
WATDE0073	1.00
WATDE0074	1.00
WATDE0075	1.00
WATDE0076	1.00
WATDE0077	1.00
WATDE0078	2.00
WATDE0079	1.00
WATDE0080	0.00
WATDE0081	NA
WATDE0082	1.00
WATDE0083	1.00
WATDE0084	1.00
WATDE0085	1.00
WATDE0086	1.00
WATDE0087	1.00
WATDE0088	1.00
WATDE0089	NA
WATDE0090	0.00
WATDE0091	0.00
WATDE0092	1.00
WATDE0093	2.00
WATDE0094	1.00
WATDE0095	1.00
WATDE0096	1.00
WATDE0097	2.00
WATDE0098	1.00
WATDE0099	1.00
WATDE0101	1.00
WATDE0102	2.00
WATDE0103	1.00
WATDE0104	NA
WATDE0105	1.00
WATDE0106	2.00
WATDE0107	1.00
WATDE0108	1.00
WATDE0109	1.00
WATDE0110	1.00
WATDE0111	0.00
WATDE0112	1.00
WATDE0113	1.00
WATDE0114	1.00
WATDE0115	1.00
WATDE0116	1.00
WATDE0117	2.00
WATDE0118	2.00
WATDE0119	1.00
WATDE0120	0.00
WATDE0121	1.00
WATDE0122	1.00
WATDE0123	0.00
WATDE0124	2.00
WATDE0126	1.00
WATDE0127	1.00
WATDE0129	2.00
WATDE0131	1.00
