IID	LeafCol_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	1
WATDE0010	NA
WATDE0339	2
WATDE0459	1
WATDE0476	2
WATDE0526	NA
WATDE0532	2
WATDE0576	2
WATDE0612	2
WATDE0061	2
WATDE0668	2
WATDE0714	2
WATDE0762	2
WATDE0801	2
WATDE0868	1
WATDE0100	1
WATDE1030	2
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	2
WATDE0002	2
WATDE0004	2
WATDE0005	1
WATDE0006	2
WATDE0007	NA
WATDE0008	1
WATDE0009	2
WATDE0011	2
WATDE0012	2
WATDE0013	2
WATDE0014	NA
WATDE0015	1
WATDE0016	2
WATDE0017	1
WATDE0018	1
WATDE0019	NA
WATDE0020	2
WATDE0021	2
WATDE0022	2
WATDE0023	2
WATDE0024	NA
WATDE0025	2
WATDE0026	2
WATDE0027	2
WATDE0028	2
WATDE0029	NA
WATDE0030	NA
WATDE0031	2
WATDE0032	1
WATDE0033	1
WATDE0034	1
WATDE0035	NA
WATDE0036	2
WATDE0037	2
WATDE0038	NA
WATDE0040	NA
WATDE0041	1
WATDE0042	2
WATDE0043	2
WATDE0044	NA
WATDE0045	1
WATDE0046	2
WATDE0047	2
WATDE0048	2
WATDE0049	2
WATDE0050	NA
WATDE0051	1
WATDE0052	NA
WATDE0053	1
WATDE0054	1
WATDE0055	1
WATDE0056	2
WATDE0057	2
WATDE0058	1
WATDE0059	2
WATDE0060	2
WATDE0062	2
WATDE0063	2
WATDE0064	2
WATDE0065	1
WATDE0066	2
WATDE0067	1
WATDE0068	1
WATDE0069	2
WATDE0070	2
WATDE0071	2
WATDE0072	1
WATDE0073	1
WATDE0074	1
WATDE0075	2
WATDE0076	2
WATDE0077	2
WATDE0078	2
WATDE0079	1
WATDE0080	2
WATDE0081	NA
WATDE0082	2
WATDE0083	1
WATDE0084	2
WATDE0085	2
WATDE0086	1
WATDE0087	2
WATDE0088	2
WATDE0089	NA
WATDE0090	2
WATDE0091	2
WATDE0092	2
WATDE0093	2
WATDE0094	1
WATDE0095	1
WATDE0096	2
WATDE0097	1
WATDE0098	1
WATDE0099	2
WATDE0101	1
WATDE0102	1
WATDE0103	2
WATDE0104	NA
WATDE0105	2
WATDE0106	2
WATDE0107	2
WATDE0108	1
WATDE0109	2
WATDE0110	2
WATDE0111	2
WATDE0112	2
WATDE0113	2
WATDE0114	1
WATDE0115	1
WATDE0116	2
WATDE0117	1
WATDE0118	1
WATDE0119	1
WATDE0120	2
WATDE0121	2
WATDE0122	2
WATDE0123	1
WATDE0124	1
WATDE0126	2
WATDE0127	1
WATDE0129	1
WATDE0131	2
WATDE0133	2
WATDE0134	2
WATDE0136	2
WATDE0138	NA
WATDE0140	2
WATDE0141	2
WATDE0143	NA
WATDE0144	2
WATDE0145	2
WATDE0146	2
WATDE0148	2
WATDE0149	2
WATDE0150	1
WATDE0151	1
WATDE0152	2
WATDE0153	2
WATDE0154	1
WATDE0156	2
WATDE0157	2
WATDE0158	2
WATDE0159	2
WATDE0160	1
WATDE0162	NA
WATDE0164	2
WATDE0165	2
WATDE0168	2
WATDE0169	NA
