IID	LeafLen_Quzhou_2022_Flag_Natural
Agron	13.17
Alba	16.77
Albatross	12.90
Alcedo	16.83
Alert	13.27
Almus	11.77
Altria	13.83
ArinaLrFor	NA
Arminda	15.83
Aronde	21.50
Avalon	18.30
Aztec	15.50
WATDE0003	22.00
WATDE0010	NA
WATDE0339	18.67
WATDE0459	26.50
WATDE0476	19.03
WATDE0526	16.67
WATDE0532	22.87
WATDE0576	16.80
WATDE0612	16.30
WATDE0061	22.90
WATDE0668	23.17
WATDE0714	20.57
WATDE0762	25.33
WATDE0801	24.00
WATDE0868	22.70
WATDE0100	16.80
WATDE1030	22.13
Banco	18.83
Bandit	12.03
Banner	11.10
Beauchamp	NA
Beaver	15.67
Becard_Kachu	NA
Bersee	15.43
Boreonos	15.07
Bounty	16.40
Boxer	13.73
Buster	14.10
Calif	15.77
Camp_Remy	13.17
Capitiane	12.33
Capo	17.33
Cappelle_Desprez	16.63
Catamaran	10.33
Cezanne	14.93
Charger	10.10
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	19.73
Cimcog56	16.90
Claire	NA
Consort	10.83
Courtot	13.17
Crest	11.33
Crusoe	13.50
Diablo	14.70
Diplomat	14.67
Disponent	13.33
Dorby	9.83
Drake	NA
Drauhofener_Kolben	19.67
Druid	17.27
Encore	13.17
Equinox	14.27
Erla-Kolben	12.70
Erland	11.43
Eros	17.20
Expert	12.67
Extrem	13.10
Fanal	17.83
Felix	19.17
Fiorello	NA
Flair	12.90
Flame	10.10
Flamingo	18.50
Florida	20.50
Gabo	16.93
Galahad	12.30
Garcia	NA
Gawain	21.63
Glasgow	11.77
Grafton	NA
Granada	19.07
Haven	19.10
Heine7	13.07
Hereward	12.23
Highbury	17.07
Hobbit	15.10
Holdfast	19.17
Hybrid46	15.10
Ibis	18.90
Iena	15.27
Ikarus	12.93
Jagger	NA
Joss_Cambier	12.33
Julius	NA
KWS_Santiago	14.33
Karat	11.67
Koga1	NA
Kontrast	11.27
Kosack	19.67
Kranich	14.30
Lancelot	13.17
Leda	17.43
Legend	10.93
Longbow	19.33
Lutin	18.50
MISR1	13.83
Mahndorfer	24.33
Marco	20.77
Maris_Dove	14.57
Maris_Widgeon	23.77
MarisHuntsman	21.83
Maris_ranger	19.10
Minister	22.00
Mironovska	22.07
Moisson	15.10
Muck	10.80
Multiweiss	16.00
Nautica	17.73
Newhaven	13.23
Norda	20.67
Norin	NA
Obelisk	12.67
Odeon	16.00
Odin	24.50
Oenus	11.77
Opata	11.10
Orlando	20.17
Palur	15.97
Pamyat	22.33
Pastiche	13.60
Pavon76	19.83
Pepital	10.33
Peragis	13.07
Perlo	20.93
Pfau	16.50
Pomerelle	10.43
Pony	18.17
Prof_Marshall	10.40
Prophet	12.50
Rabe	23.67
Rebel	17.83
Recital	18.13
Record	18.93
Red_Fife	16.30
Reedling	14.50
Regent	12.33
Renan	14.50
Rendezvous	18.67
Revelation	NA
Riband	NA
Rimpaus_Bastard2	20.37
RitzlhoferNeu	15.10
SYMattis	NA
Savannah	NA
Schweigers_Taca	16.17
Scipion	14.20
Shamrock	14.17
Shango	13.67
Sicco	14.17
Slejpner	17.50
Soissons	12.67
Soleil	13.77
Spark	11.33
Sperber	10.43
Spitfire	11.50
Sportsman	21.67
Stamm101	12.63
Starke2	21.17
Stava	14.00
Stella	18.93
Super152	13.33
Svale	21.50
Tadorna	20.00
Talent	16.50
Tambor	11.67
Tandem	15.17
Tanker	19.27
Taras	12.10
Thatcher	14.07
Thor	15.67
Titus	15.83
Top	17.83
Torfrida	14.73
Trafalgar	NA
Treasure	13.77
Tremie	10.17
Triumph_NDL	16.30
Tschermaks	17.57
Turpin	17.27
Urban	15.27
Vaguedepis	20.67
Vilmorin53	21.50
Vilmorin27	16.67
Virgo	20.07
Vocal	16.50
Voyage	14.20
WATDE0001	22.00
WATDE0002	14.83
WATDE0004	24.70
WATDE0005	21.70
WATDE0006	20.60
WATDE0007	NA
WATDE0008	18.27
WATDE0009	21.00
WATDE0011	21.13
WATDE0012	19.33
WATDE0013	30.77
WATDE0014	19.17
WATDE0015	19.17
WATDE0016	16.60
WATDE0017	13.90
WATDE0018	21.33
WATDE0019	14.00
WATDE0020	20.70
WATDE0021	17.37
WATDE0022	21.67
WATDE0023	18.20
WATDE0024	17.33
WATDE0025	18.80
WATDE0026	24.83
WATDE0027	25.00
WATDE0028	18.60
WATDE0029	NA
WATDE0030	NA
WATDE0031	21.87
WATDE0032	15.50
WATDE0033	14.10
WATDE0034	22.43
WATDE0035	NA
WATDE0036	19.80
WATDE0037	25.17
WATDE0038	NA
WATDE0040	NA
WATDE0041	27.17
WATDE0042	19.20
WATDE0043	26.50
WATDE0044	15.33
WATDE0045	19.67
WATDE0046	19.87
WATDE0047	16.40
WATDE0048	27.27
WATDE0049	19.90
WATDE0050	16.17
WATDE0051	20.00
WATDE0052	20.83
WATDE0053	24.10
WATDE0054	19.87
WATDE0055	19.83
WATDE0056	17.53
WATDE0057	16.70
WATDE0058	23.10
WATDE0059	19.17
WATDE0060	23.73
WATDE0062	22.73
WATDE0063	15.67
WATDE0064	15.00
WATDE0065	24.20
WATDE0066	19.13
WATDE0067	26.00
WATDE0068	22.77
WATDE0069	22.00
WATDE0070	23.50
WATDE0071	24.67
WATDE0072	21.17
WATDE0073	22.83
WATDE0074	15.40
WATDE0075	20.57
WATDE0076	18.57
WATDE0077	19.73
WATDE0078	22.27
WATDE0079	19.40
WATDE0080	21.53
WATDE0081	NA
WATDE0082	21.10
WATDE0083	24.33
WATDE0084	22.60
WATDE0085	26.73
WATDE0086	15.57
WATDE0087	17.57
WATDE0088	21.00
WATDE0089	21.77
WATDE0090	24.67
WATDE0091	25.00
WATDE0092	26.17
WATDE0093	20.70
WATDE0094	18.17
WATDE0095	13.90
WATDE0096	15.90
WATDE0097	15.93
WATDE0098	22.90
WATDE0099	19.37
WATDE0101	19.47
WATDE0102	17.83
WATDE0103	23.23
WATDE0104	23.13
WATDE0105	24.23
WATDE0106	20.07
WATDE0107	16.47
WATDE0108	19.67
WATDE0109	19.50
WATDE0110	17.47
WATDE0111	17.87
WATDE0112	23.90
WATDE0113	24.93
WATDE0114	19.13
WATDE0115	19.03
WATDE0116	23.93
WATDE0117	19.50
WATDE0118	15.90
WATDE0119	18.70
WATDE0120	22.73
WATDE0121	23.17
WATDE0122	14.93
WATDE0123	28.33
WATDE0124	20.67
WATDE0126	21.33
WATDE0127	18.50
WATDE0129	18.73
WATDE0131	19.03
WATDE0133	19.07
WATDE0134	21.30
WATDE0136	NA
WATDE0138	20.00
WATDE0140	29.00
WATDE0141	16.83
WATDE0143	NA
WATDE0144	16.97
WATDE0145	20.17
WATDE0146	18.23
WATDE0148	30.67
WATDE0149	22.00
WATDE0150	23.07
WATDE0151	19.57
WATDE0152	26.03
WATDE0153	16.73
WATDE0154	19.00
WATDE0156	25.33
WATDE0157	19.03
WATDE0158	24.87
WATDE0159	20.10
WATDE0160	31.40
WATDE0162	19.07
WATDE0164	27.67
WATDE0165	22.27
WATDE0168	25.60
WATDE0169	18.57
WATDE0171	NA
WATDE0173	20.60
WATDE0174	15.93
WATDE0175	23.00
WATDE0176	15.17
WATDE0177	23.00
WATDE0178	24.97
WATDE0180	22.57
WATDE0181	26.17
WATDE0182	16.07
WATDE0183	18.33
WATDE0184	23.23
WATDE0185	24.50
WATDE0187	NA
WATDE0188	16.53
WATDE0190	17.73
WATDE0191	20.17
WATDE0192	19.73
WATDE0194	22.50
WATDE0195	22.33
WATDE0196	18.83
WATDE0198	21.20
WATDE0199	18.23
WATDE0200	19.00
WATDE0202	19.57
WATDE0203	17.47
WATDE0204	22.27
WATDE0205	19.00
WATDE0206	22.20
WATDE0207	23.00
WATDE0209	19.43
WATDE0211	21.97
WATDE0212	26.17
WATDE0214	22.37
WATDE0215	22.30
WATDE0216	27.17
WATDE0217	23.00
WATDE0219	14.03
WATDE0220	28.00
WATDE0221	19.07
WATDE0222	25.50
WATDE0223	17.97
WATDE0224	18.03
WATDE0225	23.23
WATDE0227	16.93
WATDE0228	17.67
WATDE0229	19.77
WATDE0230	23.67
WATDE0232	15.43
WATDE0233	21.43
WATDE0234	15.83
WATDE0235	21.20
WATDE0236	18.40
WATDE0237	26.77
WATDE0238	20.60
WATDE0239	23.50
WATDE0241	NA
WATDE0242	25.73
WATDE0243	NA
WATDE0244	22.67
WATDE0246	16.33
WATDE0247	22.83
WATDE0248	20.50
WATDE0249	23.67
WATDE0250	27.83
WATDE0252	15.83
WATDE0253	19.27
WATDE0254	18.63
WATDE0255	15.63
WATDE0257	26.13
WATDE0258	19.17
WATDE0259	14.47
WATDE0260	15.73
WATDE0262	26.07
WATDE0263	21.80
WATDE0264	17.07
WATDE0266	15.83
WATDE0268	20.60
WATDE0270	16.40
WATDE0271	18.53
WATDE0272	21.90
WATDE0273	17.80
WATDE0275	18.43
WATDE0276	25.50
WATDE0277	18.43
WATDE0278	20.83
WATDE0280	23.10
WATDE0281	25.97
WATDE0282	12.90
WATDE0284	15.27
WATDE0285	25.83
WATDE0286	21.50
WATDE0287	20.47
WATDE0288	25.27
WATDE0290	18.57
WATDE0291	17.23
WATDE0292	21.50
WATDE0293	19.80
WATDE0294	24.00
WATDE0296	26.50
WATDE0298	21.50
WATDE0299	28.07
WATDE0301	16.40
WATDE0302	22.50
WATDE0303	NA
WATDE0304	12.93
WATDE0305	17.53
WATDE0306	18.33
WATDE0308	20.33
WATDE0310	19.33
WATDE0312	26.33
WATDE0313	23.47
WATDE0315	19.03
WATDE0316	23.70
WATDE0317	20.60
WATDE0318	20.67
WATDE0319	19.13
WATDE0321	18.57
WATDE0323	NA
WATDE0324	24.33
WATDE0325	18.67
WATDE0328	22.97
WATDE0329	21.23
WATDE0331	22.30
WATDE0332	23.00
WATDE0333	18.07
WATDE0334	17.17
WATDE0335	15.90
WATDE0336	19.50
WATDE0337	21.83
WATDE0340	25.93
WATDE0342	26.43
WATDE0343	22.27
WATDE0344	14.83
WATDE0345	14.17
WATDE0346	17.70
WATDE0347	23.27
WATDE0348	21.37
WATDE0350	21.37
WATDE0352	20.13
WATDE0353	24.20
WATDE0354	22.27
WATDE0355	28.00
WATDE0356	26.13
WATDE0358	20.40
WATDE0359	18.40
WATDE0361	15.50
WATDE0363	19.00
WATDE0365	24.67
WATDE0366	23.10
WATDE0368	14.17
WATDE0369	24.33
WATDE0370	19.17
WATDE0371	21.50
WATDE0372	23.23
WATDE0373	28.33
WATDE0374	23.77
WATDE0375	23.50
WATDE0377	NA
WATDE0378	17.00
WATDE0379	22.73
WATDE0381	26.43
WATDE0382	16.93
WATDE0383	18.27
WATDE0385	22.37
WATDE0386	NA
WATDE0387	22.63
WATDE0389	17.40
WATDE0391	16.30
WATDE0392	16.33
WATDE0394	20.43
WATDE0396	14.10
WATDE0397	17.00
WATDE0399	23.73
WATDE0401	16.00
WATDE0403	21.17
WATDE0404	23.13
WATDE0405	NA
WATDE0407	20.40
WATDE0408	23.33
WATDE0409	36.30
WATDE0410	15.00
WATDE0411	22.83
WATDE0412	24.73
WATDE0413	20.67
WATDE0415	32.83
WATDE0417	22.10
WATDE0419	24.47
WATDE0420	21.00
WATDE0421	26.00
WATDE0422	24.10
WATDE0423	23.83
WATDE0424	22.50
WATDE0425	19.43
