IID	LeafLen_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	22.27
WATDE0010	NA
WATDE0339	NA
WATDE0459	20.19
WATDE0476	10.89
WATDE0526	NA
WATDE0532	NA
WATDE0576	27.15
WATDE0612	NA
WATDE0061	19.84
WATDE0668	32.20
WATDE0714	18.88
WATDE0762	NA
WATDE0801	28.13
WATDE0868	19.81
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	23.31
WATDE0002	24.99
WATDE0004	19.41
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	28.69
WATDE0012	NA
WATDE0013	29.98
WATDE0014	NA
WATDE0015	18.96
WATDE0016	16.80
WATDE0017	NA
WATDE0018	20.95
WATDE0019	NA
WATDE0020	23.99
WATDE0021	NA
WATDE0022	NA
WATDE0023	21.04
WATDE0024	NA
WATDE0025	26.09
WATDE0026	27.77
WATDE0027	27.19
WATDE0028	23.09
WATDE0029	NA
WATDE0030	NA
WATDE0031	27.15
WATDE0032	23.76
WATDE0033	22.86
WATDE0034	28.83
WATDE0035	NA
WATDE0036	26.41
WATDE0037	20.34
WATDE0038	NA
WATDE0040	NA
WATDE0041	28.35
WATDE0042	23.33
WATDE0043	25.99
WATDE0044	24.80
WATDE0045	NA
WATDE0046	NA
WATDE0047	28.71
WATDE0048	NA
WATDE0049	21.38
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	21.12
WATDE0054	18.68
WATDE0055	20.68
WATDE0056	21.28
WATDE0057	20.21
WATDE0058	23.26
WATDE0059	22.63
WATDE0060	24.31
WATDE0062	20.91
WATDE0063	22.21
WATDE0064	18.07
WATDE0065	NA
WATDE0066	23.04
WATDE0067	27.39
WATDE0068	26.20
WATDE0069	27.07
WATDE0070	NA
WATDE0071	28.06
WATDE0072	24.07
WATDE0073	NA
WATDE0074	24.16
WATDE0075	23.20
WATDE0076	23.50
WATDE0077	29.27
WATDE0078	19.20
WATDE0079	NA
WATDE0080	20.18
WATDE0081	NA
WATDE0082	NA
WATDE0083	25.76
WATDE0084	NA
WATDE0085	19.17
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	30.61
WATDE0092	26.88
WATDE0093	23.16
WATDE0094	16.88
WATDE0095	15.64
WATDE0096	13.38
WATDE0097	12.90
WATDE0098	21.34
WATDE0099	21.12
WATDE0101	17.79
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	21.40
WATDE0106	NA
WATDE0107	25.48
WATDE0108	NA
WATDE0109	NA
WATDE0110	18.90
WATDE0111	20.46
WATDE0112	21.79
WATDE0113	25.21
WATDE0114	19.64
WATDE0115	NA
WATDE0116	23.10
WATDE0117	NA
WATDE0118	14.22
WATDE0119	NA
WATDE0120	NA
WATDE0121	28.08
WATDE0122	26.33
WATDE0123	21.40
WATDE0124	18.23
WATDE0126	22.61
WATDE0127	NA
WATDE0129	24.68
WATDE0131	28.00
WATDE0133	NA
WATDE0134	NA
WATDE0136	NA
