IID	LeafLen_Shenzhen_2022_Second_Natural
Agron	19.47
Alba	NA
Albatross	19.67
Alcedo	NA
Alert	NA
Almus	NA
Altria	12.53
ArinaLrFor	NA
Arminda	20.30
Aronde	31.83
Avalon	NA
Aztec	17.60
WATDE0003	34.30
WATDE0010	NA
WATDE0339	30.17
WATDE0459	30.27
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	25.63
WATDE0612	25.50
WATDE0061	24.93
WATDE0668	42.83
WATDE0714	NA
WATDE0762	39.07
WATDE0801	40.13
WATDE0868	24.00
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	26.93
Banner	NA
Beauchamp	19.23
Beaver	NA
Becard_Kachu	NA
Bersee	27.37
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	20.67
Capo	NA
Cappelle_Desprez	35.07
Catamaran	15.97
Cezanne	18.20
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	19.80
Claire	NA
Consort	NA
Courtot	27.20
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	16.47
Disponent	NA
Dorby	19.17
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	20.43
Flame	17.93
Flamingo	NA
Florida	NA
Gabo	22.30
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	18.07
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	31.73
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	24.93
Iena	20.60
Ikarus	NA
Jagger	NA
Joss_Cambier	15.27
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	12.13
Leda	NA
Legend	NA
Longbow	NA
Lutin	19.83
MISR1	17.63
Mahndorfer	NA
Marco	NA
Maris_Dove	25.93
Maris_Widgeon	23.43
MarisHuntsman	NA
Maris_ranger	36.43
Minister	NA
Mironovska	18.37
Moisson	NA
Muck	20.77
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
