IID	LeafWid_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	1.59
WATDE0010	NA
WATDE0339	NA
WATDE0459	1.20
WATDE0476	1.56
WATDE0526	NA
WATDE0532	NA
WATDE0576	1.29
WATDE0612	NA
WATDE0061	1.55
WATDE0668	1.79
WATDE0714	1.48
WATDE0762	NA
WATDE0801	1.53
WATDE0868	1.53
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.48
WATDE0002	1.55
WATDE0004	1.57
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	1.50
WATDE0012	NA
WATDE0013	1.56
WATDE0014	NA
WATDE0015	1.46
WATDE0016	1.02
WATDE0017	NA
WATDE0018	1.44
WATDE0019	NA
WATDE0020	1.69
WATDE0021	NA
WATDE0022	NA
WATDE0023	1.62
WATDE0024	NA
WATDE0025	1.52
WATDE0026	1.43
WATDE0027	1.05
WATDE0028	1.10
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.38
WATDE0032	1.53
WATDE0033	1.67
WATDE0034	1.45
WATDE0035	NA
WATDE0036	1.78
WATDE0037	1.28
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.66
WATDE0042	1.52
WATDE0043	2.44
WATDE0044	1.46
WATDE0045	NA
WATDE0046	NA
WATDE0047	1.44
WATDE0048	NA
WATDE0049	0.95
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	1.53
WATDE0054	1.35
WATDE0055	1.45
WATDE0056	1.46
WATDE0057	1.19
WATDE0058	1.42
WATDE0059	1.10
WATDE0060	2.19
WATDE0062	1.51
WATDE0063	1.52
WATDE0064	1.55
WATDE0065	NA
WATDE0066	1.15
WATDE0067	1.53
WATDE0068	1.58
WATDE0069	1.68
WATDE0070	NA
WATDE0071	1.55
WATDE0072	1.74
WATDE0073	NA
WATDE0074	1.88
WATDE0075	1.48
WATDE0076	1.46
WATDE0077	1.41
WATDE0078	1.06
WATDE0079	NA
WATDE0080	1.42
WATDE0081	NA
WATDE0082	NA
WATDE0083	1.42
WATDE0084	NA
WATDE0085	1.27
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	1.74
WATDE0092	1.80
WATDE0093	1.32
WATDE0094	1.31
WATDE0095	1.25
WATDE0096	1.31
WATDE0097	1.59
WATDE0098	1.05
WATDE0099	1.84
WATDE0101	1.63
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	1.23
WATDE0106	NA
WATDE0107	1.17
WATDE0108	NA
WATDE0109	NA
WATDE0110	1.28
WATDE0111	1.16
WATDE0112	1.65
WATDE0113	1.27
WATDE0114	1.28
WATDE0115	NA
WATDE0116	1.69
WATDE0117	NA
WATDE0118	1.44
WATDE0119	NA
WATDE0120	NA
WATDE0121	1.62
WATDE0122	1.58
WATDE0123	1.49
WATDE0124	1.37
WATDE0126	1.37
WATDE0127	NA
WATDE0129	1.48
WATDE0131	1.60
WATDE0133	NA
WATDE0134	NA
WATDE0136	NA
