IID	Mat_Shenzhen_2022_Natural_1st
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	138
WATDE0010	NA
WATDE0339	169
WATDE0459	144
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	164
WATDE0612	144
WATDE0061	93
WATDE0668	143
WATDE0714	133
WATDE0762	135
WATDE0801	149
WATDE0868	153
WATDE0100	NA
WATDE1030	181
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	135
WATDE0002	96
WATDE0004	143
WATDE0005	79
WATDE0006	110
WATDE0007	NA
WATDE0008	157
WATDE0009	195
WATDE0011	147
WATDE0012	172
WATDE0013	148
WATDE0014	NA
WATDE0015	106
WATDE0016	147
WATDE0017	157
WATDE0018	138
WATDE0019	NA
WATDE0020	145
WATDE0021	157
WATDE0022	181
WATDE0023	92
WATDE0024	NA
WATDE0025	132
WATDE0026	143
WATDE0027	161
WATDE0028	132
WATDE0029	NA
WATDE0030	NA
WATDE0031	164
WATDE0032	142
WATDE0033	143
WATDE0034	144
WATDE0035	NA
WATDE0036	135
WATDE0037	143
WATDE0038	NA
WATDE0040	NA
WATDE0041	135
WATDE0042	188
WATDE0043	166
WATDE0044	NA
WATDE0045	148
WATDE0046	185
WATDE0047	153
WATDE0048	170
WATDE0049	158
WATDE0050	NA
WATDE0051	151
WATDE0052	NA
WATDE0053	133
WATDE0054	113
WATDE0055	163
WATDE0056	147
WATDE0057	128
WATDE0058	139
WATDE0059	173
WATDE0060	135
WATDE0062	145
WATDE0063	136
WATDE0064	157
WATDE0065	165
WATDE0066	145
WATDE0067	139
WATDE0068	146
WATDE0069	145
WATDE0070	159
WATDE0071	138
WATDE0072	138
WATDE0073	142
WATDE0074	133
WATDE0075	143
WATDE0076	185
WATDE0077	130
WATDE0078	170
WATDE0079	182
WATDE0080	150
WATDE0081	NA
WATDE0082	181
WATDE0083	147
WATDE0084	172
WATDE0085	182
WATDE0086	150
WATDE0087	146
WATDE0088	164
WATDE0089	NA
WATDE0090	132
WATDE0091	136
WATDE0092	145
WATDE0093	139
WATDE0094	157
WATDE0095	147
WATDE0096	147
WATDE0097	136
WATDE0098	132
WATDE0099	152
WATDE0101	95
WATDE0102	183
WATDE0103	NA
WATDE0104	NA
WATDE0105	141
WATDE0106	183
WATDE0107	151
WATDE0108	181
WATDE0109	NA
WATDE0110	144
WATDE0111	137
WATDE0112	104
WATDE0113	143
WATDE0114	164
WATDE0115	104
WATDE0116	132
WATDE0117	139
WATDE0118	137
WATDE0119	186
WATDE0120	140
WATDE0121	138
WATDE0122	142
WATDE0123	118
WATDE0124	119
WATDE0126	140
WATDE0127	158
WATDE0129	120
WATDE0131	134
WATDE0133	133
WATDE0134	154
WATDE0136	108
WATDE0138	NA
WATDE0140	155
WATDE0141	181
WATDE0143	NA
WATDE0144	148
WATDE0145	148
WATDE0146	150
WATDE0148	135
WATDE0149	92
WATDE0150	107
WATDE0151	143
WATDE0152	142
WATDE0153	135
WATDE0154	102
WATDE0156	136
WATDE0157	143
WATDE0158	130
WATDE0159	126
WATDE0160	126
WATDE0162	NA
WATDE0164	180
WATDE0165	180
WATDE0168	181
