IID	SPAD_Shenzhen_2022_Nautural_Booting
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	39.8
WATDE0010	NA
WATDE0339	NA
WATDE0459	NA
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	37.2
WATDE0612	NA
WATDE0061	NA
WATDE0668	40.85
WATDE0714	NA
WATDE0762	41
WATDE0801	43
WATDE0868	35.6
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	44.8
WATDE0002	NA
WATDE0004	NA
WATDE0005	NA
WATDE0006	NA
WATDE0007	NA
WATDE0008	29.3
WATDE0009	35
WATDE0011	37
WATDE0012	NA
WATDE0013	37.1
WATDE0014	NA
WATDE0015	43.6
WATDE0016	41.8
WATDE0017	NA
WATDE0018	NA
WATDE0019	NA
WATDE0020	36
WATDE0021	38.15
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	38.7
WATDE0026	38.9
WATDE0027	36.2
WATDE0028	38.9
WATDE0029	NA
WATDE0030	NA
WATDE0031	32.1
WATDE0032	39.15
WATDE0033	43.8
WATDE0034	45.7
WATDE0035	NA
WATDE0036	34
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	49.5
WATDE0042	NA
WATDE0043	34
WATDE0044	NA
WATDE0045	30.9
WATDE0046	NA
WATDE0047	37.2
WATDE0048	NA
WATDE0049	NA
WATDE0050	NA
WATDE0051	36.9
WATDE0052	NA
WATDE0053	43.2
WATDE0054	35.7
WATDE0055	41.1
WATDE0056	35.1
WATDE0057	40.7
WATDE0058	38.8
WATDE0059	NA
WATDE0060	38.4
WATDE0062	NA
WATDE0063	38.8
WATDE0064	34.4
WATDE0065	NA
WATDE0066	37.9
WATDE0067	41.3
WATDE0068	42.4
WATDE0069	35.1
WATDE0070	31.5
WATDE0071	42.3
WATDE0072	42.9
WATDE0073	34.8
WATDE0074	40.75
WATDE0075	39.2
WATDE0076	NA
WATDE0077	50.3
WATDE0078	37.6
WATDE0079	NA
WATDE0080	42.2
WATDE0081	NA
WATDE0082	35.7
WATDE0083	41.5
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	43.95
WATDE0088	38.2
WATDE0089	NA
WATDE0090	37.4
WATDE0091	35.1
WATDE0092	35.3
WATDE0093	NA
WATDE0094	34.5
WATDE0095	NA
WATDE0096	37.6
WATDE0097	39.7
WATDE0098	NA
WATDE0099	42.65
WATDE0101	NA
WATDE0102	38.1
WATDE0103	NA
WATDE0104	NA
WATDE0105	35.8
WATDE0106	36.7
WATDE0107	40.65
WATDE0108	NA
WATDE0109	NA
WATDE0110	45.6
WATDE0111	36.3
WATDE0112	NA
WATDE0113	33.75
WATDE0114	36.7
WATDE0115	NA
WATDE0116	41.5
WATDE0117	NA
WATDE0118	36.5
WATDE0119	33.8
WATDE0120	NA
WATDE0121	35.5
WATDE0122	39.55
WATDE0123	NA
WATDE0124	NA
WATDE0126	40.6
WATDE0127	41.15
WATDE0129	42.3
WATDE0131	43.3
WATDE0133	42.3
WATDE0134	NA
WATDE0136	NA
WATDE0138	NA
WATDE0140	26.3
