IID	SPAD_Shenzhen_2022_Nautural_tilling
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	21.7
WATDE0010	NA
WATDE0339	NA
WATDE0459	32.45
WATDE0476	34.53333333
WATDE0526	NA
WATDE0532	41.66666667
WATDE0576	35.2
WATDE0612	34.9
WATDE0061	31.2
WATDE0668	35.8
WATDE0714	33.5
WATDE0762	32.9
WATDE0801	39.8
WATDE0868	37.85
WATDE0100	34.25
WATDE1030	33.4
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	32.8
WATDE0002	34.8
WATDE0004	31.8
WATDE0005	42.5
WATDE0006	25.96666667
WATDE0007	NA
WATDE0008	39.05
WATDE0009	34.4
WATDE0011	41.1
WATDE0012	28.1
WATDE0013	30.6
WATDE0014	NA
WATDE0015	31
WATDE0016	31.3
WATDE0017	NA
WATDE0018	35.35
WATDE0019	NA
WATDE0020	29.7
WATDE0021	42.5
WATDE0022	NA
WATDE0023	32.9
WATDE0024	NA
WATDE0025	38.8
WATDE0026	30.7
WATDE0027	32.2
WATDE0028	33
WATDE0029	NA
WATDE0030	NA
WATDE0031	32.7
WATDE0032	37.8
WATDE0033	32.6
WATDE0034	36
WATDE0035	NA
WATDE0036	32.8
WATDE0037	33.85
WATDE0038	NA
WATDE0040	NA
WATDE0041	40.2
WATDE0042	32.45
WATDE0043	29.6
WATDE0044	NA
WATDE0045	34.75
WATDE0046	41.25
WATDE0047	34
WATDE0048	NA
WATDE0049	34.45
WATDE0050	NA
WATDE0051	35.95
WATDE0052	NA
WATDE0053	36.5
WATDE0054	36
WATDE0055	37.6
WATDE0056	28.4
WATDE0057	31.9
WATDE0058	33.2
WATDE0059	NA
WATDE0060	42.1
WATDE0062	28.9
WATDE0063	32.6
WATDE0064	24.1
WATDE0065	38.6
WATDE0066	39.6
WATDE0067	39.4
WATDE0068	42.8
WATDE0069	36.5
WATDE0070	31.5
WATDE0071	31.9
WATDE0072	35.8
WATDE0073	35.75
WATDE0074	18.3
WATDE0075	43.7
WATDE0076	33.8
WATDE0077	42.7
WATDE0078	40.95
WATDE0079	33.1
WATDE0080	29.4
WATDE0081	NA
WATDE0082	34.8
WATDE0083	41.7
WATDE0084	34.7
WATDE0085	36.4
WATDE0086	46.8
WATDE0087	44.3
WATDE0088	40.8
WATDE0089	NA
WATDE0090	31.2
WATDE0091	33.3
WATDE0092	30.8
WATDE0093	32.35
WATDE0094	38.2
WATDE0095	35.35
WATDE0096	31.35
WATDE0097	32.8
WATDE0098	31.35
WATDE0099	37.8
WATDE0101	36.2
WATDE0102	32.3
WATDE0103	34.35
WATDE0104	NA
WATDE0105	31.1
WATDE0106	34.85
WATDE0107	36
WATDE0108	38.85
WATDE0109	41.55
WATDE0110	40.8
WATDE0111	44.1
WATDE0112	12.53333333
WATDE0113	35.4
WATDE0114	29.15
WATDE0115	5.628571429
WATDE0116	27.3
WATDE0117	15.48
WATDE0118	4.163636364
WATDE0119	47.7
WATDE0120	NA
WATDE0121	30.3
WATDE0122	37.2
WATDE0123	37.8
WATDE0124	37.2
WATDE0126	33
WATDE0127	32.3
WATDE0129	28.9
WATDE0131	34.4
