IID	SplN_Kaifeng-GH_2020_Natural_Fertile
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	18.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	14.78
WATDE0476	14.33
WATDE0526	4.00
WATDE0532	NA
WATDE0576	19.67
WATDE0612	14.00
WATDE0061	13.00
WATDE0668	5.50
WATDE0714	19.78
WATDE0762	12.00
WATDE0801	12.00
WATDE0868	17.00
WATDE0100	16.00
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	10.50
WATDE0002	18.00
WATDE0004	16.67
WATDE0005	13.00
WATDE0006	24.67
WATDE0007	NA
WATDE0008	NA
WATDE0009	4.00
WATDE0011	13.00
WATDE0012	24.80
WATDE0013	22.00
WATDE0014	7.60
WATDE0015	19.00
WATDE0016	13.56
WATDE0017	3.00
WATDE0018	13.00
WATDE0019	NA
WATDE0020	4.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	17.00
WATDE0024	NA
WATDE0025	13.00
WATDE0026	17.33
WATDE0027	12.44
WATDE0028	18.89
WATDE0029	NA
WATDE0030	NA
WATDE0031	NA
WATDE0032	18.00
WATDE0033	15.56
WATDE0034	18.00
WATDE0035	NA
WATDE0036	19.00
WATDE0037	9.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	21.00
WATDE0042	11.00
WATDE0043	21.00
WATDE0044	22.67
WATDE0045	NA
WATDE0046	NA
WATDE0047	14.00
WATDE0048	NA
WATDE0049	12.00
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	17.00
WATDE0054	9.00
WATDE0055	11.50
WATDE0056	16.00
WATDE0057	13.67
WATDE0058	18.89
WATDE0059	20.33
WATDE0060	9.00
WATDE0062	13.00
WATDE0063	14.13
WATDE0064	14.78
WATDE0065	19.00
WATDE0066	11.00
WATDE0067	9.00
WATDE0068	12.00
WATDE0069	14.00
WATDE0070	NA
WATDE0071	13.00
WATDE0072	14.00
WATDE0073	NA
WATDE0074	16.33
WATDE0075	21.00
WATDE0076	NA
WATDE0077	19.56
WATDE0078	16.67
WATDE0079	20.33
WATDE0080	12.44
WATDE0081	NA
WATDE0082	NA
WATDE0083	8.00
WATDE0084	23.67
WATDE0085	19.20
WATDE0086	NA
WATDE0087	2.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	4.00
WATDE0091	13.00
WATDE0092	10.00
WATDE0093	19.50
WATDE0094	NA
WATDE0095	21.80
WATDE0096	NA
WATDE0097	12.00
WATDE0098	14.33
WATDE0099	11.00
WATDE0101	19.00
WATDE0102	NA
WATDE0103	11.00
WATDE0104	14.00
WATDE0105	24.33
WATDE0106	14.50
WATDE0107	20.33
WATDE0108	NA
WATDE0109	14.00
WATDE0110	16.56
WATDE0111	20.00
WATDE0112	6.86
WATDE0113	25.00
WATDE0114	17.00
WATDE0115	12.22
WATDE0116	13.00
WATDE0117	12.00
WATDE0118	23.00
WATDE0119	19.40
WATDE0120	6.00
WATDE0121	23.00
WATDE0122	10.00
WATDE0123	NA
WATDE0124	18.00
WATDE0126	6.00
WATDE0127	10.00
WATDE0129	15.00
WATDE0131	8.00
WATDE0133	8.00
