IID	TN_Quzhou_20220601_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	131
WATDE0010	NA
WATDE0339	NA
WATDE0459	202
WATDE0476	184
WATDE0526	NA
WATDE0532	163
WATDE0576	170
WATDE0612	134
WATDE0061	90
WATDE0668	124
WATDE0714	116
WATDE0762	178
WATDE0801	130
WATDE0868	150
WATDE0100	117
WATDE1030	185
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	170
WATDE0002	119
WATDE0004	192
WATDE0005	180
WATDE0006	110
WATDE0007	NA
WATDE0008	133
WATDE0009	178
WATDE0011	128
WATDE0012	198
WATDE0013	121
WATDE0014	NA
WATDE0015	152
WATDE0016	111
WATDE0017	NA
WATDE0018	136
WATDE0019	NA
WATDE0020	133
WATDE0021	66
WATDE0022	NA
WATDE0023	200
WATDE0024	NA
WATDE0025	162
WATDE0026	166
WATDE0027	200
WATDE0028	263
WATDE0029	NA
WATDE0030	NA
WATDE0031	138
WATDE0032	157
WATDE0033	95
WATDE0034	155
WATDE0035	NA
WATDE0036	175
WATDE0037	172
WATDE0038	NA
WATDE0040	NA
WATDE0041	136
WATDE0042	149
WATDE0043	166
WATDE0044	NA
WATDE0045	107
WATDE0046	256
WATDE0047	155
WATDE0048	NA
WATDE0049	190
WATDE0050	NA
WATDE0051	121
WATDE0052	NA
WATDE0053	156
WATDE0054	124
WATDE0055	100
WATDE0056	188
WATDE0057	92
WATDE0058	190
WATDE0059	NA
WATDE0060	124
WATDE0062	154
WATDE0063	172
WATDE0064	212
WATDE0065	168
WATDE0066	185
WATDE0067	267
WATDE0068	147
WATDE0069	175
WATDE0070	201
WATDE0071	130
WATDE0072	144
WATDE0073	205
WATDE0074	95
WATDE0075	55
WATDE0076	132
WATDE0077	208
WATDE0078	281
WATDE0079	213
WATDE0080	128
WATDE0081	NA
WATDE0082	116
WATDE0083	126
WATDE0084	176
WATDE0085	163
WATDE0086	79
WATDE0087	152
WATDE0088	170
WATDE0089	NA
WATDE0090	130
WATDE0091	196
WATDE0092	85
WATDE0093	147
WATDE0094	136
WATDE0095	95
WATDE0096	142
WATDE0097	107
WATDE0098	204
WATDE0099	149
WATDE0101	148
WATDE0102	120
WATDE0103	113
WATDE0104	NA
WATDE0105	89
WATDE0106	143
WATDE0107	141
WATDE0108	137
WATDE0109	112
WATDE0110	188
WATDE0111	179
WATDE0112	113
WATDE0113	150
WATDE0114	145
WATDE0115	129
WATDE0116	114
WATDE0117	130
WATDE0118	152
WATDE0119	194
WATDE0120	NA
WATDE0121	151
WATDE0122	162
WATDE0123	223
WATDE0124	90
WATDE0126	183
WATDE0127	224
WATDE0129	144
WATDE0131	143
WATDE0133	186
WATDE0134	NA
WATDE0136	238
WATDE0138	NA
WATDE0140	198
WATDE0141	NA
WATDE0143	NA
WATDE0144	195
WATDE0145	203
WATDE0146	203
WATDE0148	141
WATDE0149	217
WATDE0150	161
WATDE0151	157
WATDE0152	138
WATDE0153	143
WATDE0154	184
WATDE0156	138
WATDE0157	209
WATDE0158	107
WATDE0159	120
WATDE0160	132
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
