IID	TN_Shenzhen-NN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	16.95
WATDE0010	NA
WATDE0339	NA
WATDE0459	18.76
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	23.04
WATDE0612	16.79
WATDE0061	12.30
WATDE0668	12.16
WATDE0714	21.69
WATDE0762	25.15
WATDE0801	25.78
WATDE0868	17.42
WATDE0100	33.58
WATDE1030	16.21
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	17.93
WATDE0002	25.34
WATDE0004	17.29
WATDE0005	18.42
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	21.47
WATDE0012	NA
WATDE0013	14.75
WATDE0014	NA
WATDE0015	10.12
WATDE0016	19.64
WATDE0017	NA
WATDE0018	21.65
WATDE0019	NA
WATDE0020	23.21
WATDE0021	NA
WATDE0022	NA
WATDE0023	23.68
WATDE0024	NA
WATDE0025	18.21
WATDE0026	18.26
WATDE0027	19.43
WATDE0028	31.70
WATDE0029	NA
WATDE0030	NA
WATDE0031	16.09
WATDE0032	32.20
WATDE0033	24.61
WATDE0034	17.33
WATDE0035	NA
WATDE0036	21.52
WATDE0037	23.03
WATDE0038	NA
WATDE0040	NA
WATDE0041	31.45
WATDE0042	22.06
WATDE0043	16.41
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	25.42
WATDE0048	NA
WATDE0049	21.05
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	16.58
WATDE0054	22.31
WATDE0055	18.09
WATDE0056	24.22
WATDE0057	23.58
WATDE0058	16.80
WATDE0059	15.96
WATDE0060	36.15
WATDE0062	12.67
WATDE0063	23.36
WATDE0064	21.79
WATDE0065	14.86
WATDE0066	26.10
WATDE0067	19.21
WATDE0068	19.85
WATDE0069	28.20
WATDE0070	NA
WATDE0071	20.45
WATDE0072	21.28
WATDE0073	NA
WATDE0074	12.38
WATDE0075	23.18
WATDE0076	33.48
WATDE0077	20.01
WATDE0078	26.20
WATDE0079	NA
WATDE0080	15.14
WATDE0081	NA
WATDE0082	NA
WATDE0083	27.60
WATDE0084	NA
WATDE0085	18.59
WATDE0086	NA
WATDE0087	21.16
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	18.75
WATDE0092	17.81
WATDE0093	12.90
WATDE0094	19.19
WATDE0095	13.70
WATDE0096	25.66
WATDE0097	23.79
WATDE0098	23.62
WATDE0099	35.00
WATDE0101	15.95
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	27.31
WATDE0106	NA
WATDE0107	19.51
WATDE0108	NA
WATDE0109	NA
WATDE0110	25.17
WATDE0111	24.26
WATDE0112	12.64
WATDE0113	22.17
WATDE0114	18.98
WATDE0115	15.84
WATDE0116	22.55
WATDE0117	NA
WATDE0118	22.46
WATDE0119	NA
WATDE0120	NA
WATDE0121	19.81
WATDE0122	35.19
WATDE0123	18.16
WATDE0124	16.65
WATDE0126	24.24
WATDE0127	NA
WATDE0129	26.07
WATDE0131	20.56
WATDE0133	13.39
WATDE0134	NA
WATDE0136	NA
