IID	TN_Shenzhen_20220108_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	184.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	242.50
WATDE0476	400.00
WATDE0526	NA
WATDE0532	246.00
WATDE0576	341.50
WATDE0612	279.50
WATDE0061	158.50
WATDE0668	238.00
WATDE0714	225.00
WATDE0762	227.00
WATDE0801	222.00
WATDE0868	NA
WATDE0100	273.50
WATDE1030	300.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	214.50
WATDE0002	175.00
WATDE0004	225.00
WATDE0005	129.50
WATDE0006	187.50
WATDE0007	NA
WATDE0008	228.00
WATDE0009	292.50
WATDE0011	280.00
WATDE0012	434.00
WATDE0013	160.00
WATDE0014	NA
WATDE0015	150.50
WATDE0016	366.50
WATDE0017	NA
WATDE0018	207.50
WATDE0019	NA
WATDE0020	129.00
WATDE0021	374.50
WATDE0022	NA
WATDE0023	247.50
WATDE0024	NA
WATDE0025	221.50
WATDE0026	258.00
WATDE0027	267.00
WATDE0028	332.50
WATDE0029	NA
WATDE0030	NA
WATDE0031	340.50
WATDE0032	245.00
WATDE0033	236.00
WATDE0034	240.00
WATDE0035	NA
WATDE0036	138.00
WATDE0037	246.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	296.50
WATDE0042	315.00
WATDE0043	355.50
WATDE0044	NA
WATDE0045	317.00
WATDE0046	472.00
WATDE0047	142.00
WATDE0048	NA
WATDE0049	325.00
WATDE0050	NA
WATDE0051	344.50
WATDE0052	NA
WATDE0053	113.00
WATDE0054	267.50
WATDE0055	187.00
WATDE0056	292.00
WATDE0057	255.00
WATDE0058	170.50
WATDE0059	NA
WATDE0060	254.50
WATDE0062	145.50
WATDE0063	252.50
WATDE0064	203.00
WATDE0065	366.50
WATDE0066	381.00
WATDE0067	190.00
WATDE0068	226.00
WATDE0069	230.00
WATDE0070	305.00
WATDE0071	177.00
WATDE0072	149.00
WATDE0073	358.50
WATDE0074	152.50
WATDE0075	60.00
WATDE0076	331.00
WATDE0077	190.00
WATDE0078	375.00
WATDE0079	694.50
WATDE0080	128.00
WATDE0081	NA
WATDE0082	416.00
WATDE0083	205.00
WATDE0084	440.00
WATDE0085	189.50
WATDE0086	267.00
WATDE0087	325.00
WATDE0088	367.50
WATDE0089	NA
WATDE0090	250.00
WATDE0091	173.00
WATDE0092	172.00
WATDE0093	359.50
WATDE0094	209.50
WATDE0095	293.00
WATDE0096	168.50
WATDE0097	175.00
WATDE0098	308.00
WATDE0099	229.00
WATDE0101	197.00
WATDE0102	252.00
WATDE0103	386.00
WATDE0104	NA
WATDE0105	325.00
WATDE0106	339.50
WATDE0107	330.00
WATDE0108	352.00
WATDE0109	233.50
WATDE0110	220.00
WATDE0111	263.00
WATDE0112	151.50
WATDE0113	283.50
WATDE0114	347.50
WATDE0115	168.00
WATDE0116	95.50
WATDE0117	185.00
WATDE0118	181.50
WATDE0119	285.50
WATDE0120	NA
WATDE0121	170.00
WATDE0122	233.00
WATDE0123	227.00
WATDE0124	160.00
WATDE0126	402.00
WATDE0127	218.00
WATDE0129	303.00
WATDE0131	246.50
WATDE0133	209.50
