# 66 data1
# 66 data1 1
CRR875830	Leda-1  #
CRR875838	Lutin-3 #
# 66 data1 2
CRR875842	Mahndorfer-1    #
CRR875844	Mahndorfer-3    #
CRR875851	Maris Dove-2    #
CRR875853	Maris Dove-4    #
CRR875854	Maris Huntsman-1    #
CRR875867	Minister-1  #
CRR875869	Minister-3  #
CRR875870	Minister-4  #
CRR875873	Moisson-1   #
CRR875875	Moisson-3   #
# 66 data1 3
CRR875889	Norda-3 #
CRR875892	Norda-6 #
CRR875893	Norman-1    #
CRR875896	Norman-4    #
CRR875897	Obelisk-1   #
CRR875900	Odeon-2 #
CRR875913	Orlando-3   #
CRR875914	Orlando-4   #
CRR875916	Palur-2 #
CRR875918	Palur-4 #
CRR875920	Pamyat Azieva-2 #
CRR875925	Pavon 76-2  #
CRR875926	Pavon 76-3  #
CRR875931	Peragis-2   #
CRR875936	Pfau-3  #
CRR875938	Pomerelle-1 #
CRR875942	Pony-2  #

# 66 data2
# 66 data2 1
CRR875953	Rabe-1  #
CRR875955	Rabe-3  #
CRR875970	Renan-1 #
CRR875973	Renan-4 #
CRR875978	Revelation-3    #
CRR875985	Rimpaus Braun-1 #
CRR875999	Shamrock-2  #
CRR876001	Shamrock-4  #
CRR876005	Sicco-2 #
CRR876010	Soissons-1  #
# 66 data2 2
CRR876016	Solstice-2  #
CRR876018	Spark-1 #
CRR876021	Spark-4 #
CRR876025	Sperber-4   #
CRR876032	Stamm 101-3 #
CRR876039	Stella-3    #
CRR876040	Super 152-1 #
CRR876042	Svale-1 #
CRR876060	Taras-3 #
CRR876093	Vaguedepis-2    #
CRR876096	Veritas-2   #
CRR876102	Vilmorin 53-1   #
CRR876103	Vilmorin 53-2   #

# 115 1
CRR876109	Voyage-1    #
CRR875826	Kranich-1   #
CRR875827	Kranich-2   #
CRR875828	Lancelot-1  #
CRR875829	Lancelot-2  #
CRR875831	Leda-2  #
CRR875832	Legend-1    #
CRR875833	Legend-2    #
CRR875834	Longbow-1   #
# 115 2
CRR875835	Longbow-2   #
CRR875836	Lutin-1 #
CRR875837	Lutin-2 #
CRR875839	MISR 1-1    #
CRR875840	MISR 1-2    #
CRR875841	MISR 1-3    #
CRR875843	Mahndorfer-2    #
CRR875845	Mahndorfer-4    #
CRR875846	Malacca-1   #
# 115 3
CRR875847	Malacca-2   #
CRR875848	Marco-1 #
CRR875849	Marco-2 #
CRR875850	Maris Dove-1    #
CRR875852	Maris Dove-3    #
CRR875855	Maris Huntsman-2    #
CRR875856	Maris Huntsman-3    #
CRR875857	Maris Widgeon-1 #
CRR875858	Maris Widgeon-2 #
# 115 4
CRR875859	Maris ranger-1  #
CRR875860	Maris ranger-2  #
CRR875861	Mendel-1    #
CRR875862	Mendel-2    #
CRR875863	Mercia-1    #
CRR875864	Mercia-2    #
CRR875865	Mina-1  #
CRR875866	Mina-2  #
CRR875868	Minister-2  #
# 115 5
CRR875871	Mironovska-1    #
CRR875872	Mironovska-2    #
CRR875874	Moisson-2   #
CRR875876	Moisson-4   #
CRR875877	Muck-1  #
CRR875878	Muck-2  #
CRR875879	Multiweiss-1    #
CRR875880	Multiweiss-2    #
CRR875881	Nautica-1   #
# 115 6
CRR875882	Nautica-2   #
CRR875883	Nautica-3   #
CRR875884	Nautica-4   #
CRR875885	Newhaven-1  #
CRR875886	Newhaven-2  #
CRR875887	Norda-1 #
CRR875888	Norda-2 #
CRR875890	Norda-4 #
CRR875891	Norda-5 #
CRR875894	Norman-2    #
CRR875895	Norman-3    #
# 115 7
CRR875898	Obelisk-2   #
CRR875899	Odeon-1 #
CRR875901	Odeon-3 #
CRR875902	Odeon-4 #
CRR875903	Odin-1  #
CRR875904	Odin-2  #
CRR875905	Oenus-1 #
CRR875906	Oenus-2 #
CRR875907	Opata-1 #
CRR875908	Opata-2 #
CRR875909	Opata-3 #
CRR875910	Opata-4 #
CRR875911	Orlando-1   #
CRR875912	Orlando-2   #
CRR875915	Palur-1 #
CRR875917	Palur-3 #
CRR875919	Pamyat Azieva-1 #
CRR875921	Pastiche-1  #
CRR875922	Pastiche-2  #
CRR875923	Pastiche-3  #
CRR875924	Pavon 76-1  #
CRR875927	Pavon 76-4  #
CRR875928	Pepital-1   #
CRR875929	Pepital-2   #
CRR875930	Peragis-1   #
# 115 8
CRR875932	Perlo-1 #
CRR875933	Perlo-2 #
CRR875934	Pfau-1  #
CRR875935	Pfau-2  #
CRR875937	Pfau-4  #
CRR875939	Pomerelle-2 #
CRR875940	Pomerelle-3 #
CRR875941	Pony-1  #
CRR875943	Pony-3  #
CRR875944	Prof Marshall-1 #
CRR875945	Prof Marshall-2 #
CRR875946	Prof Marshall-3 #
CRR875947	Prophet-1   #
CRR875948	Prophet-2   #
CRR875949	Prophet-3   #
CRR875950	Prophet-4   #
CRR875951	Prophet-5   #
CRR875952	Prophet-6   #
CRR875954	Rabe-2  #
CRR875956	Rebel-1 #
CRR875957	Rebel-2 #
CRR875958	Recital-1   #
CRR875959	Recital-2   #
CRR875960	Record-1    #
CRR875961	Record-2    #
# 115 9
CRR875962	Record-3    #
CRR875963	Record-4    #
CRR875964	Red Fife-1  #
CRR875965	Red Fife-2  #
CRR875966	Reedling-1  #
CRR875967	Reedling-2  #
CRR875968	Regent-1    #
