      count    mean_size     size   percent
DHH    1455   291.166323   423647  0.071309
DTA     242   259.929752    62903  0.010588
DTC    1768   613.068439  1083905  0.182444
DTH     550   282.332727   155283  0.026137
DTM     769   342.028609   263020  0.044272
DTT     961   235.428720   226247  0.038082
DTX       6   268.166667     1609  0.000271
DXX      11   319.818182     3518  0.000592
NULL      7   114.142857      799  0.000134
RIJ       1    93.000000       93  0.000016
RIL       3   159.666667      479  0.000081
RIX     860   598.740698   514917  0.086671
RLC     953  1212.754460  1155755  0.194538
RLG    3851  1380.030901  5314499  0.894543
RLX    1212   497.928218   603489  0.101580
RSX      51   246.568627    12575  0.002117
XXX   13141   346.424321  4552362  0.766259
