       count    mean_size       size    percent
DHH    18499   497.018217    9194340   1.547603
DTA     2135   348.511007     744071   0.125243
DTC    61146  1087.839548   66517037  11.196231
DTH     9663   445.086205    4300868   0.723927
DTM     9432   411.653414    3882715   0.653543
DTT    20392   286.222048    5836640   0.982431
DTX      463   270.788337     125375   0.021103
DXX      268   249.574627      66886   0.011258
NULL     115   184.252174      21189   0.003567
RIJ       31   104.387097       3236   0.000545
RIL       13   169.384615       2202   0.000371
RIR        5   353.200000       1766   0.000297
RIX     4198   834.581944    3503575   0.589726
RLC    36167  3087.471590  111664585  18.795522
RLG   112573  2716.776083  305835634  51.478636
RLX    16203  1527.536444   24750673   4.166064
RSX     1808   338.899336     612730   0.103135
XXX    25845   388.727027   10046650   1.691065

