chrom	length	bases	mean	min	max
TE_00000000#Unknown	439	1195497	2723.23	22	3415
TE_00000001#Unknown	1365	27582161	20206.71	318	612495
TE_00000002#Unknown	776	2313902	2981.83	0	5924
TE_00000003#Unknown	2499	10734487	4295.51	1339	6638
TE_00000004#Unknown	584	2823934	4835.50	1923	5560
TE_00000005#Unknown	1436	1771311	1233.50	5	2177
TE_00000006#Unknown	188	251319	1336.80	103	1977
TE_00000007#Unknown	609	3448556	5662.65	2403	7247
TE_00000008#Unknown	384	1091666	2842.88	611	5376
TE_00000009#Unknown	1087	3217817	2960.27	674	20964
TE_00000010#Unknown	557	1945142	3492.18	5	5460
TE_00000011#Unknown	505	3199541	6335.72	3276	7756
TE_00000012#Unknown	297	1588680	5349.09	131	6243
TE_00000013#DNA/DTC	415	1951213	4701.72	0	5925
TE_00000014#Unknown	356	1855615	5212.40	3057	6582
TE_00000015#Unknown	453	393658	869.00	0	1790
TE_00000016#Unknown	257	1310095	5097.65	158	6263
TE_00000017#Unknown	128	116301	908.60	280	1019
TE_00000018#Unknown	654	2249408	3439.46	0	5078
TE_00000019#Unknown	1529	8489858	5552.56	32	6627
TE_00000020#Unknown	431	8333742	19335.83	894	26322
TE_00000021#Unknown	80	405904	5073.80	3495	5945
TE_00000022#Unknown	193	1103857	5719.47	2410	6591
TE_00000023#DNA/DTC	383	2169301	5663.97	4624	6466
TE_00000024#Unknown	1095	5159503	4711.87	728	6176
TE_00000025#Unknown	357	2677708	7500.58	3645	11578
TE_00000026#Unknown	481	3618911	7523.72	2795	15390
TE_00000027#Unknown	451	1468215	3255.47	65	4465
TE_00000028#Unknown	126	646353	5129.79	2701	5695
TE_00000029#Unknown	421	33789	80.26	0	207
TE_00000030#Unknown	1356	3100242	2286.31	140	4105
TE_00000031#Unknown	123	910415	7401.75	5551	8378
TE_00000032#Unknown	352	594171	1687.99	92	3110
TE_00000033#Unknown	334	1699557	5088.49	2449	6135
TE_00000034#Unknown	2117	1950384	921.30	7	1701
TE_00000035#Unknown	620	975718	1573.74	63	2796
TE_00000036#Unknown	1435	4020826	2801.97	514	4858
TE_00000037#Unknown	99	354486	3580.67	9	6373
TE_00000038#Unknown	3097	24154034	7799.17	2693	11685
TE_00000039#Unknown	1367	927300	678.35	1	2950
TE_00000040#Unknown	209	1176619	5629.76	3868	6726
