     count     mean_size    size    percent
DHH      9  10025.111111   90226   4.506791
DTA      2    308.000000     616   0.030769
DTC    121   1078.140496  130455   6.516231
DTH     11    531.545455    5847   0.292058
DTM     16    857.000000   13712   0.684915
DTT     13    396.923077    5160   0.257742
DTX      1    383.000000     383   0.019131
DXX      2    426.500000     853   0.042607
RIX      1    162.000000     162   0.008092
RLC     75   3920.253333  294019  14.686256
RLG   1139    819.416155  933315  46.619108
RLX     60   2182.933333  130976   6.542254
RSX      8    349.625000    2797   0.139710
XXX     56    126.642857    7092   0.354246
