      count    mean_size     size   percent
DHH    1298   262.508475   340736  0.057353
DTA     258   266.666667    68800  0.011581
DTC    2182   530.654445  1157888  0.194897
DTH     479   304.626305   145916  0.024561
DTM    1007   298.146971   300234  0.050536
DTT     603   200.655058   120995  0.020366
DTX       7   180.857143     1266  0.000213
DXX      12   200.833333     2410  0.000406
NULL      9   152.777778     1375  0.000231
RIJ       2   117.000000      234  0.000039
RIL       5   223.200000     1116  0.000188
RIR       1   132.000000      132  0.000022
RIX     963   548.519211   528224  0.088911
RLC     960  1174.900000  1127904  0.189850
RLG    4442  1235.761594  5489253  0.923958
RLX    1334   459.559220   613052  0.103190
RSX      27   236.814815     6394  0.001076
XXX   13316   337.385551  4492626  0.756204
