chrom	length	bases	mean	min	max
TE_00000053#DNA/DTC	3292	1518546	461.28	0	4365
TE_00000100#DNA/DTC	1072	621526	579.78	0	1957
TE_00000213#DNA/DTC	4424	8856987	2002.03	0	4573
TE_00000259#DNA/DTC	542	457239	843.61	0	1021
TE_00000376#DNA/DTH	930	349011	375.28	0	517
TE_00000397#DNA/DTM	1116	552247	494.84	123	728
TE_00000405#DNA/DTM	2802	177057	63.19	0	208
TE_00000460#DNA/DTM	802	123505	154.00	0	371
TE_00000483#DNA/DTM	140	7291	52.08	4	74
TE_00000517#DNA/DTM	1940	40478	20.86	0	145
TE_00000524#DNA/DTM	561	19870	35.42	0	182
TE_00000542#DNA/DTM	600	49156	81.93	0	266
TE_00000591#DNA/DTH	523	169008	323.15	141	422
TE_00000610#DNA/DTM	569	170192	299.11	2	402
TE_00000807#DNA/DTM	2927	121161	41.39	0	123
TE_00000816#DNA/DTM	3598	994570	276.42	0	472
TE_00000890#DNA/DTM	2757	236106	85.64	0	271
TE_00000941#DNA/DTA	2342	23038	9.84	0	45
TE_00001097#DNA/DTM	3135	28996	9.25	0	234
TE_00001098#DNA/Helitron	9474	142790	15.07	0	360
TE_00001099#DNA/DTT	1966	15594	7.93	0	129
TE_00001100#DNA/DTT	1216	5421	4.46	0	36
TE_00001101#DNA/DTT	3546	65495	18.47	0	313
TE_00001102#DNA/DTT	1226	8436	6.88	0	54
TE_00001103#DNA/DTT	3092	100088	32.37	0	972
TE_00001104#DNA/DTM	928	5331	5.74	0	102
TE_00001105#DNA/DTC	1269	4451	3.51	0	14
TE_00001106#DNA/DTT	1009	4187	4.15	0	19
TE_00001107#DNA/Helitron	7866	300664	38.22	0	375
TE_00001108#DNA/DTC	1551	374340	241.35	0	1172
TE_00001109#DNA/DTT	1600	5986	3.74	0	37
TE_00001110#DNA/DTA	3970	78169	19.69	0	313
TE_00001111#DNA/DTM	3325	35814	10.77	0	37
TE_00001112#DNA/DTT	672	1772	2.64	0	10
TE_00001113#DNA/DTT	1876	87478	46.63	0	404
TE_00001114#DNA/DTT	1693	435970	257.51	0	2728
TE_00001115#DNA/Helitron	3477	20068	5.77	0	18
TE_00001116#DNA/DTT	2111	5866	2.78	0	13
TE_00001117#DNA/Helitron	4320	130589	30.23	0	285
TE_00001118#DNA/DTT	1599	16282	10.18	0	19
TE_00001119#DNA/DTT	710	2131	3.00	0	15
TE_00001120#DNA/DTT	2318	31991	13.80	1	26
TE_00001121#MITE/DTH	112	468	4.18	1	19
TE_00001122#DNA/DTT	2404	19699	8.19	0	45
TE_00001123#DNA/DTC	2792	50059	17.93	1	50
TE_00001124#DNA/DTC	2731	294909	107.99	0	269
TE_00001125#DNA/DTT	3711	10455	2.82	0	17
TE_00001126#DNA/DTT	2436	6432	2.64	0	29
TE_00001127#DNA/DTT	2666	13527	5.07	0	51
TE_00001128#DNA/Helitron	7758	114768	14.79	0	111
TE_00001129#DNA/DTT	3052	126530	41.46	0	519
TE_00001130#DNA/Helitron	14957	86240	5.77	0	124
TE_00001131#DNA/Helitron	3737	58979	15.78	0	40
TE_00001132#DNA/Helitron	3585	235203	65.61	0	677
TE_00001133#DNA/DTC	3918	190229	48.55	0	332
TE_00001134#DNA/DTM	439	10913	24.86	0	56
TE_00001135#DNA/Helitron	3664	23424	6.39	0	60
TE_00001136#DNA/Helitron	4087	83095	20.33	0	176
TE_00001137#DNA/DTM	2719	514624	189.27	0	1394
TE_00001138#DNA/DTT	2081	10372	4.98	0	50
TE_00001139#DNA/Helitron	4185	53143	12.70	1	52
TE_00001140#DNA/DTC	1805	22218	12.31	1	56
TE_00001141#DNA/DTH	986	59982	60.83	1	215
TE_00001142#DNA/Helitron	1750	3949	2.26	0	18
TE_00001143#DNA/Helitron	15766	176108	11.17	0	138
TE_00001144#DNA/DTT	704	1726	2.45	0	8
TE_00001145#DNA/DTT	3345	136955	40.94	0	227
TE_00001146#DNA/DTC	4631	34825	7.52	0	63
TE_00001147#DNA/DTM	3366	29480	8.76	0	273
TE_00001148#DNA/DTM	1913	7844	4.10	0	21
TE_00001149#DNA/DTC	465	1141	2.45	0	5
TE_00001150#DNA/DTC	3973	66344	16.70	1	800
TE_00001151#DNA/DTC	3154	78439	24.87	5	41
TE_00001152#DNA/DTT	1116	7747	6.94	0	32
TE_00001153#DNA/Helitron	3369	43833	13.01	0	134
TE_00001154#DNA/Helitron	4449	28974	6.51	1	57
TE_00001155#DNA/DTT	797	5525	6.93	1	74
TE_00001156#DNA/DTT	1778	551230	310.03	0	1484
TE_00001157#DNA/DTH	1017	53396	52.50	0	272
TE_00001158#DNA/Helitron	3513	248839	70.83	0	501
TE_00001159#DNA/DTT	2458	13704	5.58	0	26
TE_00001160#DNA/DTT	1965	6818	3.47	0	10
TE_00001161#DNA/DTT	3047	11571	3.80	0	21
TE_00001162#DNA/DTT	587	1640	2.79	0	9
TE_00001163#DNA/DTT	2445	15856	6.49	0	28
TE_00001164#DNA/Helitron	2137	14899	6.97	0	52
TE_00001165#DNA/DTT	2689	10701	3.98	0	49
TE_00001166#DNA/DTM	424	3529	8.32	1	13
TE_00001167#DNA/DTT	3526	20408	5.79	0	79
TE_00001168#DNA/DTC	2853	58277	20.43	1	47
TE_00001169#DNA/DTT	2315	13383	5.78	0	45
TE_00001170#DNA/DTT	3138	61710	19.67	0	346
TE_00001171#DNA/DTC	4051	247779	61.16	0	618
TE_00001172#DNA/DTM	1357	26619	19.62	0	103
TE_00001173#DNA/Helitron	3641	22661	6.22	0	89
TE_00001174#DNA/Helitron	6061	84327	13.91	0	338
TE_00001175#DNA/DTC	646	6288	9.73	1	16
TE_00001176#DNA/DTT	1635	4832	2.96	0	8
TE_00001177#DNA/DTT	1903	13526	7.11	0	497
TE_00001178#DNA/DTT	1441	3014	2.09	0	9
TE_00001179#DNA/DTT	576	7081	12.29	0	70
TE_00001180#DNA/DTT	1603	6262	3.91	0	35
TE_00001181#DNA/Helitron	16160	1474241	91.23	0	1176
TE_00001182#DNA/Helitron	7570	257123	33.97	0	875
TE_00001183#DNA/DTT	1873	6087	3.25	0	8
TE_00001184#DNA/DTM	823	40659	49.40	5	195
TE_00001185#DNA/DTT	712	3746	5.26	0	21
TE_00001186#DNA/DTC	3111	70946	22.80	0	102
TE_00001187#DNA/Helitron	4500	228809	50.85	0	358
TE_00001188#DNA/Helitron	6375	99952	15.68	0	331
TE_00001189#DNA/DTM	1539	7142	4.64	0	37
TE_00001190#DNA/Helitron	1849	289991	156.84	0	1383
TE_00001191#DNA/DTT	1126	6458	5.74	0	32
TE_00001192#DNA/DTT	2273	15019	6.61	0	23
TE_00001193#DNA/DTT	2333	251597	107.84	0	562
TE_00001194#DNA/DTH	1058	56961	53.84	4	130
TE_00001195#DNA/DTT	2704	27649	10.23	0	59
TE_00001196#DNA/Helitron	11789	240712	20.42	0	476
TE_00001197#DNA/Helitron	3162	49659	15.70	0	302
TE_00001198#DNA/DTH	865	93706	108.33	0	337
TE_00001199#DNA/DTC	2644	70362	26.61	0	221
TE_00001200#DNA/DTT	1731	11862	6.85	0	45
TE_00001201#DNA/DTT	1857	5320	2.86	0	67
TE_00001202#DNA/DTT	2985	15943	5.34	0	65
TE_00001203#DNA/DTT	1982	5829	2.94	0	20
TE_00001204#DNA/DTT	2874	5257	1.83	0	23
TE_00001205#DNA/DTT	2433	4947	2.03	0	11
TE_00001206#DNA/DTT	486	2028	4.17	0	16
TE_00001207#DNA/DTT	1425	7065	4.96	0	18
TE_00001208#DNA/DTT	451	1205	2.67	0	14
TE_00001209#DNA/DTT	1498	6649	4.44	0	68
TE_00001210#DNA/DTT	1033	559	0.54	0	15
TE_00001211#DNA/Helitron	2734	11314	4.14	0	20
TE_00001212#DNA/Helitron	10525	37176996	3532.26	0	18291
TE_00001213#DNA/Helitron	7271	36562	5.03	0	80
TE_00001214#DNA/DTC	3189	48243	15.13	0	99
TE_00001215#DNA/DTM	873	8075	9.25	0	21
TE_00001216#DNA/DTC	3581	397534	111.01	0	1879
TE_00001217#DNA/DTC	3946	162589	41.20	2	127
TE_00001218#DNA/Helitron	2194	41496	18.91	5	33
TE_00001219#DNA/Helitron	4337	14713	3.39	0	25
TE_00001220#DNA/Helitron	6075	117687	19.37	0	274
TE_00001221#DNA/DTM	633	2999	4.74	1	9
TE_00001222#DNA/DTT	2524	10267	4.07	0	68
TE_00001223#DNA/DTT	3026	61340	20.27	0	172
TE_00001224#DNA/DTM	2152	7984	3.71	0	18
TE_00001225#DNA/Helitron	4044	27125	6.71	0	44
TE_00001226#DNA/DTT	780	6711	8.60	0	44
TE_00001227#DNA/DTM	3306	43861	13.27	1	87
TE_00001228#DNA/DTT	3432	43336	12.63	0	341
TE_00001229#DNA/DTT	2716	20212	7.44	0	190
TE_00001230#DNA/DTT	1647	10519	6.39	0	20
TE_00001231#DNA/DTT	3267	21850	6.69	0	144
TE_00001232#DNA/DTT	921	100125	108.71	0	615
TE_00001233#DNA/DTC	3395	43611	12.85	0	38
TE_00001234#DNA/DTT	2150	4858539	2259.79	0	3180
TE_00001235#DNA/DTT	2013	80109	39.80	0	583
TE_00001236#DNA/DTT	1202	20085	16.71	0	250
TE_00001237#DNA/DTT	1624	9470	5.83	0	41
TE_00001238#DNA/Helitron	14254	582765	40.88	0	438
TE_00001239#DNA/Helitron	5194	570788	109.89	0	874
TE_00001240#DNA/DTT	1874	529096	282.34	0	3596
TE_00001241#DNA/DTT	918	6067	6.61	1	48
TE_00001242#DNA/DTT	1315	4037	3.07	0	24
TE_00001243#DNA/DTT	755	898662	1190.28	3	2134
TE_00001244#DNA/DTT	896	945	1.05	0	7
TE_00001245#DNA/Helitron	3676	29299	7.97	0	36
TE_00001246#DNA/DTH	882	53136	60.24	1	137
TE_00001247#DNA/DTT	2380	45331	19.05	0	310
TE_00001248#DNA/DTC	2164	47817	22.10	1	85
TE_00001249#DNA/DTC	3940	51169	12.99	0	35
TE_00001250#DNA/DTT	1116	11670	10.46	0	154
TE_00001251#DNA/DTT	3290	16606	5.05	0	43
TE_00001252#DNA/DTC	2749	7232	2.63	0	25
