chrom	length	bases	mean	min	max
TE_00000000#Unknown	1093	4283717	3919.23	1135	5730
TE_00000001#Unknown	345	3074484	8911.55	5917	13647
TE_00000002#Unknown	411	1328668	3232.77	421	4462
TE_00000003#Unknown	1202	109406	91.02	0	266
TE_00000004#Unknown	987	2627638	2662.25	26	3718
TE_00000005#Unknown	392	2442616	6231.16	462	8774
TE_00000006#LINE/unknown	1563	12523	8.01	0	63
TE_00000007#Unknown	233	942007	4042.95	3005	4570
TE_00000008#Unknown	721	3519238	4881.05	573	7012
TE_00000009#Unknown	223	982653	4406.52	608	6119
TE_00000010#Unknown	625	2154749	3447.60	1282	4291
TE_00000011#Unknown	2601	10570958	4064.19	1047	5922
TE_00000012#Unknown	112	169345	1512.01	717	1818
TE_00000013#Unknown	437	1609431	3682.91	0	5502
TE_00000014#Unknown	88	701696	7973.82	3955	10411
TE_00000015#Unknown	127	688571	5421.82	1652	7705
TE_00000016#Unknown	989	3534060	3573.37	45	6958
TE_00000017#Unknown	733	1207802	1647.75	4	2372
TE_00000018#Unknown	1695	6893026	4066.68	117	5918
TE_00000019#Unknown	761	2246784	2952.41	41	6992
TE_00000020#LINE/unknown	758	23733	31.31	0	152
TE_00000021#Unknown	111	300160	2704.14	1818	3209
TE_00000022#Unknown	1624	6029291	3712.62	331	5993
TE_00000023#Unknown	1782	12281606	6892.03	122	10006
TE_00000024#Unknown	1928	9132638	4736.85	166	7426
TE_00000025#Unknown	307	2005979	6534.13	2988	10239
TE_00000026#Unknown	180	758259	4212.55	40	7185
TE_00000027#Unknown	2763	7462762	2700.96	690	4946
TE_00000028#Unknown	606	1746600	2882.18	550	3825
TE_00000029#Unknown	1548	7462293	4820.60	1	6183
TE_00000030#Unknown	423	34063	80.53	0	209
TE_00000031#Unknown	334	1654545	4953.73	120	6064
TE_00000032#Unknown	615	937789	1524.86	32	2076
TE_00000033#Unknown	731	1666403	2279.62	530	4319
TE_00000034#Unknown	911	5161403	5665.65	3342	6775
TE_00000035#Unknown	370	1511012	4083.82	2122	5133
TE_00000036#Unknown	311	1425170	4582.54	903	6168
TE_00000037#Unknown	191	244142	1278.23	176	2337
TE_00000038#Unknown	380	1143945	3010.38	990	5662
TE_00000039#Unknown	2536	8689551	3426.48	260	5516
TE_00000040#Unknown	1226	2552512	2081.98	6	3918
TE_00000041#Unknown	242	1970034	8140.64	20	15973
TE_00000042#Unknown	446	547400	1227.35	79	2696
TE_00000043#Unknown	248	1406881	5672.91	4242	6117
TE_00000044#Unknown	431	459484	1066.09	0	2091
TE_00000045#Unknown	1861	4130705	2219.62	48	5563
TE_00000046#Unknown	114	546494	4793.81	2830	5407
TE_00000047#Unknown	1750	5683533	3247.73	0	9446
TE_00000048#Unknown	170	981227	5771.92	2023	7728
TE_00000049#Unknown	324	1060457	3273.02	0	4023
TE_00000050#Unknown	4163	18307608	4397.70	108	7482
TE_00000051#Unknown	1343	4528907	3372.23	0	11287
TE_00000052#LINE/unknown	1276	659868	517.14	0	2017
TE_00000053#DNA/DTC	3292	11342278	3445.41	21	6497
TE_00000054#LTR/unknown	478	1643268	3437.80	106	6124
TE_00000055#Unknown	87	786809	9043.78	121	11346
TE_00000056#Unknown	596	3123016	5239.96	409	8655
TE_00000057#Unknown	93	252335	2713.28	36	3801
TE_00000058#Unknown	197	544219	2762.53	526	3834
TE_00000059#Unknown	246	1219899	4958.94	3090	5897
TE_00000060#Unknown	881	2819472	3200.31	560	5806
TE_00000061#LINE/unknown	649	7921	12.20	0	58
TE_00000062#Unknown	778	955658	1228.35	0	2939
TE_00000063#Unknown	262	1750505	6681.32	3419	8489
TE_00000064#Unknown	184	933923	5075.67	1335	6641
TE_00000065#Unknown	157	1241802	7909.57	4284	8705
TE_00000066#LINE/unknown	1777	31438	17.69	0	49
TE_00000067#Unknown	439	1424079	3243.92	1641	4212
TE_00000068#Unknown	389	1754280	4509.72	2	11421
TE_00000069#Unknown	874	5971067	6831.88	142	11478
TE_00000070#Unknown	192	10892	56.73	1	96
TE_00000071#Unknown	206	557573	2706.67	627	3594
TE_00000072#Unknown	2145	11390238	5310.13	138	7386
TE_00000073#Unknown	116	383810	3308.71	0	4420
TE_00000074#Unknown	880	4151658	4717.79	2142	9772
TE_00000075#Unknown	87	228308	2624.23	1283	3117
TE_00000076#Unknown	2661	12352676	4642.12	754	5886
TE_00000077#Unknown	215	1530352	7117.92	4971	7942
TE_00000078#Unknown	224	106029	473.34	141	884
TE_00000079#Unknown	146	620859	4252.46	1238	5131
TE_00000080#Unknown	1509	10697084	7088.86	3654	8658
TE_00000081#Unknown	1345	5948713	4422.83	619	6860
TE_00000082#Unknown	1619	3086753	1906.58	31	2882
TE_00000083#Unknown	393	1010199	2570.48	19	5503
TE_00000084#Unknown	162	256572	1583.78	113	2476
TE_00000085#Unknown	1760	5701410	3239.44	22	6832
TE_00000086#Unknown	746	4833583	6479.33	0	9867
TE_00000087#Unknown	1161	6727527	5794.60	24	8703
TE_00000088#Unknown	230	745016	3239.20	0	4845
TE_00000089#Unknown	221	450659	2039.18	162	3604
TE_00000090#Unknown	300	1298563	4328.54	2250	5210
TE_00000091#Unknown	326	750969	2303.59	606	3690
TE_00000092#Unknown	478	3241411	6781.19	1295	12206
TE_00000093#Unknown	209	778839	3726.50	0	4618
TE_00000094#Unknown	482	595300	1235.06	2	3024
TE_00000095#Unknown	312	1714993	5496.77	343	6550
TE_00000096#Unknown	570	404135	709.01	0	1057
TE_00000097#Unknown	507	1140199	2248.91	689	4588
TE_00000098#Unknown	1037	3975760	3833.91	3	4603
TE_00000099#Unknown	895	3207357	3583.64	11	5386
TE_00000100#DNA/DTC	1072	4031153	3760.40	1538	4946
TE_00000101#Unknown	151	488846	3237.39	0	6778
TE_00000102#Unknown	147	210204	1429.96	0	2317
TE_00000103#Unknown	333	550834	1654.16	11	2535
TE_00000104#Unknown	149	158096	1061.05	399	1660
TE_00000105#Unknown	843	2991073	3548.13	137	4960
TE_00000106#Unknown	121	485849	4015.28	2513	4457
TE_00000107#Unknown	544	972877	1788.38	168	3707
TE_00000108#Unknown	573	2194874	3830.50	32	4441
TE_00000109#Unknown	162	256832	1585.38	122	2189
TE_00000110#Unknown	610	6108967	10014.70	2990	21473
TE_00000111#Unknown	592	5939442	10032.84	1337	11830
TE_00000112#Unknown	239	1438498	6018.82	2254	8123
TE_00000113#Unknown	215	246323	1145.69	8	2462
TE_00000114#Unknown	1956	5200937	2658.97	0	8194
TE_00000115#Unknown	87	544457	6258.13	1525	7970
TE_00000116#Unknown	116	482852	4162.52	1416	5100
TE_00000117#Unknown	410	2584079	6302.63	2948	8162
TE_00000118#Unknown	3837	19952149	5199.93	19	6664
TE_00000119#Unknown	301	612368	2034.45	948	3365
TE_00000120#Unknown	1834	2536938	1383.28	0	3155
TE_00000121#Unknown	183	375401	2051.37	0	3118
TE_00000122#Unknown	103	400672	3890.02	304	6261
TE_00000123#Unknown	616	547653	889.05	0	2809
TE_00000124#Unknown	920	3941672	4284.43	180	7578
TE_00000125#Unknown	413	957418	2318.20	819	3791
TE_00000126#Unknown	197	379959	1928.73	80	2452
TE_00000127#Unknown	370	2068110	5589.49	3762	6311
TE_00000128#Unknown	467	1144199	2450.10	5	3647
TE_00000129#Unknown	152	364259	2396.44	1478	2653
TE_00000130#Unknown	221	1150336	5205.14	3797	5727
TE_00000131#Unknown	1964	9524186	4849.38	5	8221
TE_00000132#Unknown	947	6167693	6512.88	33	11851
TE_00000133#Unknown	597	3627456	6076.14	2593	8440
TE_00000134#Unknown	344	854391	2483.69	1091	3261
TE_00000135#Unknown	770	2456434	3190.17	138	4566
TE_00000136#Unknown	310	253327	817.18	37	1408
TE_00000137#Unknown	283	6525	23.06	0	33
TE_00000138#Unknown	321	1282235	3994.50	2023	5174
TE_00000139#Unknown	202	1270993	6292.04	4434	6779
TE_00000140#Unknown	419	1794473	4282.75	885	6731
TE_00000141#Unknown	712	3080172	4326.08	403	6120
TE_00000142#Unknown	807	3744488	4640.01	1101	5947
TE_00000143#Unknown	148	430869	2911.28	1272	3145
TE_00000144#Unknown	1705	8838409	5183.82	1362	6265
TE_00000145#Unknown	821	3706872	4515.07	30	9603
TE_00000146#Unknown	914	3465960	3792.08	0	5448
TE_00000147#Unknown	547	2610036	4771.55	0	5729
TE_00000148#Unknown	2721	12718751	4674.29	21	6177
TE_00000149#Unknown	337	1188927	3527.97	944	4661
TE_00000150#Unknown	208	494648	2378.12	5	5725
TE_00000151#Unknown	438	2261250	5162.67	29	8222
TE_00000152#Unknown	87	366530	4212.99	2988	4726
TE_00000153#Unknown	2351	4985337	2120.52	2	3492
TE_00000154#Unknown	750	4555260	6073.68	0	11283
TE_00000155#Unknown	172	667377	3880.10	1857	5004
TE_00000156#Unknown	272	1047407	3850.76	1939	4504
TE_00000157#Unknown	659	1758807	2668.90	28	6197
TE_00000158#Unknown	184	559179	3039.02	1053	3867
TE_00000159#Unknown	172	653732	3800.77	7	6954
TE_00000160#Unknown	102	99496	975.45	565	1564
TE_00000161#Unknown	1479	5845286	3952.19	4	13251
TE_00000162#Unknown	937	4057882	4330.72	1696	6917
TE_00000163#Unknown	512	1030908	2013.49	4	3515
TE_00000164#Unknown	1189	4015264	3377.01	68	5000
TE_00000165#Unknown	509	2028189	3984.65	1631	4966
TE_00000166#Unknown	192	753774	3925.91	2449	4525
TE_00000167#Unknown	276	1172582	4248.49	673	5796
TE_00000168#Unknown	1416	12795803	9036.58	1799	12313
TE_00000169#Unknown	221	1247594	5645.22	2408	8042
TE_00000170#Unknown	144	551669	3831.03	840	4971
TE_00000171#Unknown	189	58506	309.56	0	816
TE_00000172#Unknown	1400	904536	646.10	32	1554
TE_00000173#Unknown	508	1268930	2497.89	20	4844
TE_00000174#Unknown	81	1263055	15593.27	0	24383
TE_00000175#Unknown	552	143775	260.46	0	1046
TE_00000176#Unknown	948	3151343	3324.20	3	5703
TE_00000177#Unknown	313	1501536	4797.24	3699	5348
TE_00000178#Unknown	113	327124	2894.90	759	3838
TE_00000179#Unknown	817	2979186	3646.49	464	4856
TE_00000180#Unknown	177	589042	3327.92	51	5487
TE_00000181#Unknown	234	1012655	4327.59	0	7281
TE_00000182#Unknown	364	935064	2568.86	169	3764
TE_00000183#Unknown	446	97460	218.52	83	299
TE_00000184#Unknown	1055	9339252	8852.37	3097	14974
TE_00000185#Unknown	176	1001437	5689.98	3804	6987
TE_00000186#Unknown	405	1843555	4551.99	2926	5761
TE_00000187#Unknown	211	736206	3489.13	1428	4126
