chrom	length	bases	mean	min	max
TE_00000103#DNA/DTC	1641	2417710	1473.32	29	6059
TE_00000193#DNA/DTC	1240	3961595	3194.83	5	5381
TE_00000220#DNA/DTC	2856	2052716	718.74	0	1672
TE_00000224#DNA/DTC	5749	32759819	5698.35	15	8333
TE_00000237#DNA/DTC	1299	5212789	4012.92	0	6324
TE_00000272#DNA/DTC	675	3049602	4517.93	9	6801
TE_00000354#DNA/DTM	2341	1002065	428.05	24	621
TE_00000384#DNA/DTC	1579	1422547	900.92	6	1530
TE_00000510#DNA/DTM	485	96708	199.40	2	381
TE_00000524#DNA/DTM	325	16599	51.07	0	190
TE_00000634#DNA/DTM	3366	1713130	508.95	2	783
TE_00000675#DNA/DTM	2695	575300	213.47	0	540
TE_00000732#DNA/DTH	3278	48566	14.82	4	46
TE_00000783#DNA/Helitron	6526	79578	12.19	0	430
TE_00000784#DNA/Helitron	8348	28121524	3368.65	0	21698
TE_00000785#DNA/Helitron	3599	278908	77.50	0	441
TE_00000786#DNA/Helitron	12458	629376	50.52	0	564
TE_00000787#DNA/Helitron	6421	630399	98.18	0	1465
TE_00000788#DNA/DTC	3202	69965	21.85	0	458
TE_00000789#DNA/Helitron	7874	20875017	2651.13	0	7451
TE_00000790#DNA/DTC	3668	218219	59.49	4	249
TE_00000791#DNA/DTC	2267	16391	7.23	0	20
TE_00000792#DNA/DTT	1096	19401	17.70	1	133
TE_00000793#DNA/Helitron	12056	1324810	109.89	0	1198
TE_00000794#DNA/DTC	2066	13735	6.65	0	156
TE_00000795#DNA/Helitron	1223	60314	49.32	2	98
TE_00000796#DNA/DTT	1660	50594	30.48	0	132
TE_00000797#DNA/DTM	1816	88105	48.52	0	366
TE_00000798#DNA/DTT	767	51760	67.48	0	346
TE_00000799#DNA/DTM	929	16813	18.10	1	140
TE_00000800#DNA/DTT	1148	25810	22.48	0	331
TE_00000801#DNA/Helitron	13089	595241	45.48	0	1357
TE_00000802#DNA/DTT	3497	23759	6.79	0	29
TE_00000803#DNA/DTT	2554	32216	12.61	0	745
TE_00000804#DNA/DTM	2128	91403	42.95	0	527
TE_00000805#DNA/DTM	1204	17135	14.23	0	72
TE_00000806#DNA/DTC	3043	133545	43.89	1	89
TE_00000807#DNA/DTH	1023	26827	26.22	0	202
TE_00000808#DNA/DTT	3465	109759	31.68	0	1265
TE_00000809#DNA/DTC	1266	6682	5.28	0	28
TE_00000810#DNA/Helitron	12187	557290	45.73	0	1801
TE_00000811#DNA/DTM	2061	35420	17.19	0	291
TE_00000812#DNA/Helitron	9288	300499	32.35	0	451
TE_00000813#DNA/DTT	2965	132486	44.68	0	1440
TE_00000814#DNA/DTC	812	207054	254.99	76	390
TE_00000815#DNA/DTM	2196	507591	231.14	0	657
TE_00000816#DNA/DTT	2678	16117	6.02	0	32
TE_00000817#DNA/Helitron	14136	4604303	325.71	1	3263
TE_00000818#DNA/DTC	4572	83253	18.21	0	275
TE_00000819#DNA/DTT	1590	23563	14.82	0	128
TE_00000820#DNA/DTC	3676	131124	35.67	0	120
TE_00000821#DNA/Helitron	2275	30075	13.22	0	93
TE_00000822#DNA/DTC	467	1889	4.04	0	7
TE_00000823#DNA/DTT	2141	24407	11.40	0	136
TE_00000824#DNA/DTT	1822	15347	8.42	0	125
TE_00000825#DNA/DTT	668	1145	1.71	0	4
TE_00000826#DNA/DTT	3249	995515	306.41	0	5432
TE_00000827#DNA/DTT	655	11332	17.30	0	128
TE_00000828#DNA/Helitron	2940	645141	219.44	0	2383
TE_00000829#DNA/Helitron	17241	141905	8.23	0	189
TE_00000830#DNA/Helitron	2977	28253	9.49	0	28
TE_00000831#DNA/DTT	751	3243	4.32	1	21
TE_00000832#DNA/DTT	2159	202495	93.79	1	674
TE_00000833#DNA/DTT	3458	74806	21.63	0	476
TE_00000834#DNA/DTT	2066	51329	24.84	0	360
TE_00000835#DNA/DTT	504	35159	69.76	0	382
TE_00000836#DNA/DTM	342	5592	16.35	3	26
TE_00000837#DNA/DTT	2726	35402	12.99	0	700
TE_00000838#DNA/DTM	2447	42048	17.18	0	102
TE_00000839#DNA/DTM	1015	21281	20.97	0	67
TE_00000840#DNA/DTC	1356	17392	12.83	0	87
TE_00000841#DNA/DTM	989	35925	36.32	4	103
TE_00000842#DNA/DTT	786	4275	5.44	0	64
TE_00000843#DNA/DTM	3480	69567	19.99	0	96
TE_00000844#DNA/DTT	656	25384	38.70	0	455
TE_00000845#DNA/DTT	2878	21955	7.63	0	255
TE_00000846#DNA/Helitron	11906	32474374	2727.56	0	19540
TE_00000847#DNA/DTT	1347	10879	8.08	0	176
TE_00000848#DNA/DTT	3258	155568	47.75	0	451
TE_00000849#DNA/Helitron	15083	196202	13.01	0	195
TE_00000850#MITE/DTC	241	877	3.64	0	7
TE_00000851#DNA/Helitron	4540	4846407	1067.49	0	12326
TE_00000852#DNA/DTC	2191	18841	8.60	0	110
TE_00000853#DNA/DTT	725	23878	32.94	3	151
TE_00000854#DNA/Helitron	10267	471731	45.95	0	952
TE_00000855#DNA/DTH	869	32819	37.77	2	464
TE_00000856#DNA/Helitron	8333	165080	19.81	0	381
TE_00000857#DNA/DTT	1357	11876	8.75	0	70
TE_00000858#DNA/DTM	965	19360	20.06	2	98
TE_00000859#DNA/DTT	1367	54778	40.07	0	297
TE_00000860#DNA/DTH	782	91369	116.84	0	462
