chrom	length	bases	mean	min	max
TE_00000053#DNA/DTC	3292	11324332	3439.96	22	6498
TE_00000100#DNA/DTC	1072	4042360	3770.86	1583	4946
TE_00000213#DNA/DTC	4424	19498405	4407.42	45	6797
TE_00000259#DNA/DTC	542	697445	1286.80	4	1570
TE_00000376#DNA/DTH	930	554049	595.75	0	848
TE_00000397#DNA/DTM	1116	857206	768.11	187	1120
TE_00000405#DNA/DTM	2802	451545	161.15	0	307
TE_00000460#DNA/DTM	802	192655	240.22	0	582
TE_00000483#DNA/DTM	140	9700	69.29	4	107
TE_00000517#DNA/DTM	1940	245927	126.77	0	211
TE_00000524#DNA/DTM	561	28839	51.41	0	261
TE_00000542#DNA/DTM	600	77156	128.59	0	416
TE_00000591#DNA/DTH	523	264194	505.15	202	667
TE_00000610#DNA/DTM	569	264875	465.51	2	615
TE_00000807#DNA/DTM	2927	192146	65.65	0	196
TE_00000816#DNA/DTM	3598	1565072	434.98	0	790
TE_00000890#DNA/DTM	2757	377523	136.93	0	408
TE_00000941#DNA/DTA	2342	38940	16.63	0	74
TE_00001097#DNA/DTM	3135	47034	15.00	0	346
TE_00001098#DNA/Helitron	9474	301257	31.80	0	1076
TE_00001099#DNA/DTT	1966	26951	13.71	0	266
TE_00001100#DNA/DTT	1216	10355	8.52	0	106
TE_00001101#DNA/DTT	3546	93969	26.50	0	435
TE_00001102#DNA/DTT	1226	22387	18.26	0	184
TE_00001103#DNA/DTT	3092	214284	69.30	0	1671
TE_00001104#DNA/DTM	928	9432	10.16	0	168
TE_00001105#DNA/DTC	1269	9255	7.29	0	25
TE_00001106#DNA/DTT	1009	9946	9.86	0	62
TE_00001107#DNA/Helitron	7866	557989	70.94	0	694
TE_00001108#DNA/DTC	1551	640033	412.66	0	1940
TE_00001109#DNA/DTT	1600	21514	13.45	0	239
TE_00001110#DNA/DTA	3970	144335	36.36	0	549
TE_00001111#DNA/DTM	3325	60420	18.17	0	56
TE_00001112#DNA/DTT	672	3315	4.93	0	24
TE_00001113#DNA/DTT	1876	169335	90.26	0	810
TE_00001114#DNA/DTT	1693	618691	365.44	0	3871
TE_00001115#DNA/Helitron	3477	34901	10.04	0	36
TE_00001116#DNA/DTT	2111	11021	5.22	0	25
TE_00001117#DNA/Helitron	4320	246643	57.09	0	557
TE_00001118#DNA/DTT	1599	25224	15.77	0	27
TE_00001119#DNA/DTT	710	8261	11.64	0	94
TE_00001120#DNA/DTT	2318	54243	23.40	3	48
TE_00001121#MITE/DTH	112	727	6.49	1	32
TE_00001122#DNA/DTT	2404	42044	17.49	0	194
TE_00001123#DNA/DTC	2792	82338	29.49	1	95
TE_00001124#DNA/DTC	2731	468157	171.42	0	442
TE_00001125#DNA/DTT	3711	19945	5.37	0	41
TE_00001126#DNA/DTT	2436	18317	7.52	0	87
TE_00001127#DNA/DTT	2666	30920	11.60	0	203
TE_00001128#DNA/Helitron	7758	254517	32.81	0	312
TE_00001129#DNA/DTT	3052	288039	94.38	0	1119
TE_00001130#DNA/Helitron	14957	143169	9.57	0	252
TE_00001131#DNA/Helitron	3737	92798	24.83	0	69
TE_00001132#DNA/Helitron	3585	422941	117.98	0	1122
TE_00001133#DNA/DTC	3918	339123	86.56	2	668
TE_00001134#DNA/DTM	439	15946	36.32	0	82
TE_00001135#DNA/Helitron	3664	47893	13.07	0	201
TE_00001136#DNA/Helitron	4087	193660	47.38	0	605
TE_00001137#DNA/DTM	2719	899023	330.64	2	2518
TE_00001138#DNA/DTT	2081	16225	7.80	0	82
TE_00001139#DNA/Helitron	4185	83637	19.98	2	80
TE_00001140#DNA/DTC	1805	44480	24.64	3	106
TE_00001141#DNA/DTH	986	115908	117.55	2	377
TE_00001142#DNA/Helitron	1750	15258	8.72	0	37
TE_00001143#DNA/Helitron	15766	315588	20.02	0	271
TE_00001144#DNA/DTT	704	3056	4.34	0	12
TE_00001145#DNA/DTT	3345	277501	82.96	0	529
TE_00001146#DNA/DTC	4631	61612	13.30	1	99
TE_00001147#DNA/DTM	3366	50723	15.07	0	442
TE_00001148#DNA/DTM	1913	12479	6.52	0	36
TE_00001149#DNA/DTC	465	1918	4.12	0	8
TE_00001150#DNA/DTC	3973	104302	26.25	3	1166
TE_00001151#DNA/DTC	3154	125741	39.87	9	69
TE_00001152#DNA/DTT	1116	25903	23.21	1	340
TE_00001153#DNA/Helitron	3369	69364	20.59	0	217
TE_00001154#DNA/Helitron	4449	48123	10.82	2	122
TE_00001155#DNA/DTT	797	14609	18.33	1	128
TE_00001156#DNA/DTT	1778	1444868	812.64	0	2856
TE_00001157#DNA/DTH	1017	98268	96.63	0	497
TE_00001158#DNA/Helitron	3513	436943	124.38	0	848
TE_00001159#DNA/DTT	2458	32099	13.06	0	74
TE_00001160#DNA/DTT	1965	11819	6.01	0	23
TE_00001161#DNA/DTT	3047	22570	7.41	0	49
TE_00001162#DNA/DTT	587	3267	5.57	0	34
TE_00001163#DNA/DTT	2445	40749	16.67	0	103
TE_00001164#DNA/Helitron	2137	21500	10.06	0	105
TE_00001165#DNA/DTT	2689	17941	6.67	0	94
TE_00001166#DNA/DTM	424	5634	13.29	1	24
TE_00001167#DNA/DTT	3526	52987	15.03	0	372
TE_00001168#DNA/DTC	2853	93045	32.61	1	70
TE_00001169#DNA/DTT	2315	22697	9.80	0	104
TE_00001170#DNA/DTT	3138	148208	47.23	0	799
TE_00001171#DNA/DTC	4051	721775	178.17	0	1653
TE_00001172#DNA/DTM	1357	51011	37.59	0	197
TE_00001173#DNA/Helitron	3641	40264	11.06	0	168
TE_00001174#DNA/Helitron	6061	152816	25.21	0	558
TE_00001175#DNA/DTC	646	11643	18.02	1	37
TE_00001176#DNA/DTT	1635	6694	4.09	0	9
TE_00001177#DNA/DTT	1903	24999	13.14	0	765
TE_00001178#DNA/DTT	1441	5905	4.10	0	16
TE_00001179#DNA/DTT	576	26010	45.16	0	243
TE_00001180#DNA/DTT	1603	23891	14.90	0	269
TE_00001181#DNA/Helitron	16160	2696341	166.85	0	2292
TE_00001182#DNA/Helitron	7570	596847	78.84	0	2706
TE_00001183#DNA/DTT	1873	9907	5.29	1	12
TE_00001184#DNA/DTM	823	82606	100.37	8	468
TE_00001185#DNA/DTT	712	6542	9.19	1	59
TE_00001186#DNA/DTC	3111	122491	39.37	0	224
TE_00001187#DNA/Helitron	4500	445825	99.07	0	570
TE_00001188#DNA/Helitron	6375	175994	27.61	0	702
TE_00001189#DNA/DTM	1539	12335	8.01	0	92
TE_00001190#DNA/Helitron	1849	578683	312.97	0	2706
TE_00001191#DNA/DTT	1126	12830	11.39	1	105
TE_00001192#DNA/DTT	2273	29752	13.09	0	79
TE_00001193#DNA/DTT	2333	469480	201.23	0	1061
TE_00001194#DNA/DTH	1058	98405	93.01	6	215
TE_00001195#DNA/DTT	2704	48127	17.80	0	99
TE_00001196#DNA/Helitron	11789	458183	38.87	0	2281
TE_00001197#DNA/Helitron	3162	83222	26.32	1	504
TE_00001198#DNA/DTH	865	154124	178.18	2	568
TE_00001199#DNA/DTC	2644	111887	42.32	0	348
TE_00001200#DNA/DTT	1731	43701	25.25	0	419
TE_00001201#DNA/DTT	1857	23875	12.86	0	527
TE_00001202#DNA/DTT	2985	42106	14.11	0	210
TE_00001203#DNA/DTT	1982	12330	6.22	0	78
TE_00001204#DNA/DTT	2874	11737	4.08	0	98
TE_00001205#DNA/DTT	2433	11806	4.85	0	107
TE_00001206#DNA/DTT	486	5147	10.59	0	45
TE_00001207#DNA/DTT	1425	14562	10.22	0	113
TE_00001208#DNA/DTT	451	2146	4.76	0	21
TE_00001209#DNA/DTT	1498	11039	7.37	0	100
TE_00001210#DNA/DTT	1033	2750	2.66	0	33
TE_00001211#DNA/Helitron	2734	17239	6.31	0	29
TE_00001212#DNA/Helitron	10525	59929251	5693.99	0	35147
TE_00001213#DNA/Helitron	7271	68093	9.37	0	241
TE_00001214#DNA/DTC	3189	82718	25.94	0	216
TE_00001215#DNA/DTM	873	19912	22.81	0	55
TE_00001216#DNA/DTC	3581	767038	214.20	1	5478
TE_00001217#DNA/DTC	3946	285695	72.40	5	286
TE_00001218#DNA/Helitron	2194	62632	28.55	6	49
TE_00001219#DNA/Helitron	4337	24325	5.61	0	57
TE_00001220#DNA/Helitron	6075	194583	32.03	0	568
TE_00001221#DNA/DTM	633	4931	7.79	2	15
TE_00001222#DNA/DTT	2524	19277	7.64	0	114
TE_00001223#DNA/DTT	3026	181754	60.06	0	1128
TE_00001224#DNA/DTM	2152	12660	5.88	0	29
TE_00001225#DNA/Helitron	4044	48915	12.10	0	58
TE_00001226#DNA/DTT	780	23081	29.59	1	175
TE_00001227#DNA/DTM	3306	67100	20.30	1	129
TE_00001228#DNA/DTT	3432	70856	20.65	0	487
TE_00001229#DNA/DTT	2716	38358	14.12	0	448
TE_00001230#DNA/DTT	1647	17219	10.45	0	33
TE_00001231#DNA/DTT	3267	45089	13.80	0	212
TE_00001232#DNA/DTT	921	260068	282.38	1	1684
TE_00001233#DNA/DTC	3395	86230	25.40	0	112
TE_00001234#DNA/DTT	2150	7552798	3512.93	0	5414
TE_00001235#DNA/DTT	2013	208862	103.76	0	1509
TE_00001236#DNA/DTT	1202	39449	32.82	0	445
TE_00001237#DNA/DTT	1624	33487	20.62	0	105
TE_00001238#DNA/Helitron	14254	937891	65.80	0	707
TE_00001239#DNA/Helitron	5194	966817	186.14	0	1482
TE_00001240#DNA/DTT	1874	834072	445.08	0	5556
TE_00001241#DNA/DTT	918	22290	24.28	1	199
TE_00001242#DNA/DTT	1315	11274	8.57	0	118
TE_00001243#DNA/DTT	755	1441597	1909.40	3	3397
TE_00001244#DNA/DTT	896	1768	1.97	0	16
TE_00001245#DNA/Helitron	3676	56863	15.47	0	281
TE_00001246#DNA/DTH	882	95857	108.68	3	263
TE_00001247#DNA/DTT	2380	141463	59.44	0	1187
TE_00001248#DNA/DTC	2164	80384	37.15	2	138
TE_00001249#DNA/DTC	3940	90348	22.93	4	74
TE_00001250#DNA/DTT	1116	26053	23.34	1	251
TE_00001251#DNA/DTT	3290	26347	8.01	0	74
TE_00001252#DNA/DTC	2749	13749	5.00	0	42
TE_00001253#DNA/Helitron	4701	87400	18.59	0	71
TE_00001254#DNA/DTT	2570	106820	41.56	0	770
TE_00001255#DNA/DTT	970	5378	5.54	0	31
TE_00001256#DNA/DTT	1680	23600	14.05	0	170
TE_00001257#DNA/DTT	2803	251012	89.55	0	925
TE_00001258#DNA/DTT	3829	393159	102.68	0	724
TE_00001259#DNA/Helitron	16234	286203	17.63	0	812
TE_00001260#DNA/DTT	1459	35545	24.36	0	449
TE_00001261#DNA/Helitron	2083	89328	42.88	2	399
TE_00001262#DNA/DTM	2430	75838	31.21	2	163
TE_00001263#DNA/DTM	2414	35317	14.63	0	117
TE_00001264#DNA/DTM	3176	16607	5.23	0	104
TE_00001265#DNA/DTC	1638	9624	5.88	0	32
TE_00001266#DNA/DTT	1497	9858	6.59	0	98
TE_00001267#DNA/DTT	967	7442	7.70	0	77
TE_00001268#DNA/DTT	2361	20721	8.78	0	108
TE_00001269#DNA/DTT	1232	6041	4.90	0	29
TE_00001270#DNA/DTT	2882	62373	21.64	0	625
TE_00001271#DNA/DTT	2956	45338	15.34	0	182
TE_00001272#DNA/DTT	3233	113752	35.18	0	512
TE_00001273#DNA/Helitron	1923	39330	20.45	0	249
TE_00001274#DNA/DTT	570	2738	4.80	0	12
TE_00001275#DNA/DTM	1565	7599	4.86	1	16
TE_00001276#DNA/Helitron	1929	6978	3.62	0	14
TE_00001277#DNA/DTM	1735	51778	29.84	4	175
TE_00001278#DNA/DTT	1872	15754	8.42	0	148
TE_00001279#DNA/Helitron	3247	37678	11.60	0	409
TE_00001280#DNA/Helitron	11135	229435	20.60	0	270
TE_00001281#DNA/DTT	815	17305	21.23	1	128
TE_00001282#DNA/DTT	2760	67607	24.50	0	1971
TE_00001283#DNA/DTT	2076	15995	7.70	0	121
TE_00001284#DNA/Helitron	3219	44842	13.93	3	73
TE_00001285#DNA/DTT	2133	69014	32.36	0	210
TE_00001286#DNA/DTC	3291	72143	21.92	0	169
TE_00001287#DNA/DTT	1441	11274	7.82	0	66
TE_00001288#DNA/Helitron	2100	121175	57.70	4	237
TE_00001289#DNA/Helitron	6923	522265	75.44	0	512
TE_00001290#DNA/Helitron	7210	180523	25.04	0	376
TE_00001291#DNA/DTM	993	22331	22.49	1	87
TE_00001292#DNA/DTT	3585	216994	60.53	0	407
TE_00001293#DNA/DTT	1016	10789	10.62	0	65
TE_00001294#DNA/DTM	2757	50501	18.32	1	159
TE_00001295#DNA/DTT	2610	55804	21.38	0	975
TE_00001296#DNA/DTM	653	73278	112.22	2	314
TE_00001297#DNA/DTT	3342	171741	51.39	5	1175
TE_00001298#DNA/DTT	3200	48331	15.10	0	124
TE_00001299#DNA/Helitron	13823	296462	21.45	0	209
TE_00001300#DNA/DTC	2098	30077	14.34	0	195
TE_00001301#MITE/DTT	415	17317	41.73	0	113
TE_00001302#DNA/DTT	1116	14981	13.42	0	106
TE_00001303#DNA/DTT	4118	28974	7.04	0	141
TE_00001304#DNA/DTT	852	6456	7.58	1	100
TE_00001305#DNA/DTT	3206	12730	3.97	0	13
TE_00001306#DNA/DTT	2452	11298	4.61	0	38
TE_00001307#DNA/DTT	3192	44484	13.94	0	403
TE_00001308#DNA/Helitron	3847	42261	10.99	0	154
TE_00001309#DNA/DTT	527	7525	14.28	0	126
TE_00001310#DNA/DTM	717	5186	7.23	0	45
TE_00001311#DNA/Helitron	6851	286568	41.83	0	407
TE_00001312#DNA/DTT	1636	66528	40.67	0	466
TE_00001313#DNA/DTT	2923	59216	20.26	0	422
TE_00001314#DNA/DTT	2558	21236	8.30	0	89
TE_00001315#DNA/DTT	2267	20982	9.26	0	172
TE_00001316#DNA/DTT	1605	8037	5.01	0	17
TE_00001317#DNA/DTC	3108	85252	27.43	1	100
TE_00001318#DNA/DTC	3428	1326035	386.82	2	2017
TE_00001319#DNA/DTT	2481	27973	11.27	0	142
TE_00001320#DNA/DTT	265	10906	41.15	0	238
TE_00001321#DNA/DTC	1793	8983	5.01	0	26
TE_00001322#DNA/DTT	800	28740	35.92	2	281
TE_00001323#DNA/Helitron	6806	317497	46.65	0	400
