chrom	length	bases	mean	min	max
TE_00000000#Unknown	513	3515890	6853.59	1413	7909
TE_00000001#Unknown	233	961201	4125.33	1700	6660
TE_00000002#Unknown	1511	2946136	1949.79	5	5406
TE_00000003#Unknown	384	1867615	4863.58	1120	5926
TE_00000004#Unknown	983	458666	466.60	0	793
TE_00000005#Unknown	267	778557	2915.94	736	4751
TE_00000006#Unknown	1110	5890887	5307.11	1143	6661
TE_00000007#Unknown	1652	5442652	3294.58	111	5148
TE_00000008#Unknown	842	3229934	3836.03	53	9453
TE_00000009#Unknown	132	995084	7538.52	1315	13251
TE_00000010#Unknown	1230	2385271	1939.24	39	5021
TE_00000011#Unknown	271	233853	862.93	4	2261
TE_00000012#Unknown	185	76160	411.68	3	621
TE_00000013#Unknown	614	1528195	2488.92	0	4188
TE_00000014#Unknown	2077	8484306	4084.88	46	6384
TE_00000015#Unknown	142	1085768	7646.25	1379	9078
TE_00000016#Unknown	1668	8565426	5135.15	872	7024
TE_00000017#Unknown	498	1955977	3927.66	577	5399
TE_00000018#Unknown	773	2250611	2911.53	0	3604
TE_00000019#LINE/unknown	1418	6003648	4233.88	0	7699
TE_00000020#Unknown	786	3611238	4594.45	15	7765
TE_00000021#Unknown	1257	2085946	1659.46	650	2129
TE_00000022#Unknown	1684	7196526	4273.47	22	6153
TE_00000023#Unknown	1488	9475321	6367.82	0	8734
TE_00000024#Unknown	412	1233085	2992.92	1185	4891
TE_00000025#Unknown	1215	2295548	1889.34	5	3695
TE_00000026#Unknown	220	141990	645.41	362	787
TE_00000027#Unknown	1576	12828155	8139.69	0	27407
TE_00000028#Unknown	93	368170	3958.82	228	7638
TE_00000029#Unknown	784	3221134	4108.59	392	7193
TE_00000030#Unknown	526	1944390	3696.56	127	5751
TE_00000031#Unknown	551	4834453	8773.96	4831	11307
TE_00000032#LINE/unknown	106	225	2.12	0	4
TE_00000033#Unknown	977	1961434	2007.61	16	6396
TE_00000034#Unknown	198	1570795	7933.31	4319	10204
TE_00000035#Unknown	511	2029529	3971.68	223	4910
TE_00000036#Unknown	1385	6156014	4444.78	16	9062
TE_00000037#Unknown	512	1554725	3036.57	296	3772
TE_00000038#Unknown	517	1836940	3553.08	8	4444
TE_00000039#Unknown	1214	2952009	2431.64	203	6108
TE_00000040#Unknown	1015	1205304	1187.49	2	3682
TE_00000041#Unknown	1142	5546602	4856.92	1264	6206
TE_00000042#LINE/unknown	220	50506	229.57	0	349
TE_00000043#Unknown	458	1796358	3922.18	39	5023
TE_00000044#Unknown	103	111974	1087.13	33	1623
TE_00000045#Unknown	241	212334	881.05	58	1315
TE_00000046#Unknown	125	659293	5274.34	3582	5954
TE_00000047#Unknown	627	1913866	3052.42	46	7071
TE_00000048#Unknown	798	4020993	5038.84	768	8887
TE_00000049#Unknown	144	327177	2272.06	17	3439
TE_00000050#Unknown	483	1624011	3362.34	2	5008
TE_00000051#Unknown	314	1470122	4681.92	2441	5323
TE_00000052#Unknown	198	1300022	6565.77	1482	10049
TE_00000053#Unknown	1412	10077604	7137.11	2274	8732
TE_00000054#Unknown	699	51085	73.08	0	106
TE_00000055#Unknown	245	677331	2764.62	971	3895
TE_00000056#Unknown	981	2625638	2676.49	25	4272
TE_00000057#Unknown	481	2383535	4955.37	986	6733
TE_00000058#Unknown	641	2847399	4442.12	7	5775
TE_00000059#Unknown	86	1937274	22526.44	11734	26681
TE_00000060#Unknown	176	474330	2695.06	1324	2987
TE_00000061#Unknown	2824	15101731	5347.64	176	12275
TE_00000062#Unknown	2193	8984366	4096.84	2	7588
TE_00000063#Unknown	867	2493909	2876.48	9	6737
TE_00000064#Unknown	305	389362	1276.60	0	1772
TE_00000065#Unknown	709	4822822	6802.29	1831	8400
TE_00000066#Unknown	94	651831	6934.37	5265	7874
TE_00000067#Unknown	472	1180440	2500.93	10	4306
TE_00000068#Unknown	414	680344	1643.34	128	4199
TE_00000069#Unknown	906	6020962	6645.65	509	11601
TE_00000070#Unknown	219	411315	1878.15	15	3804
TE_00000071#Unknown	3189	14478951	4540.28	13	8980
TE_00000072#Unknown	1635	5259249	3216.67	12	6204
TE_00000073#Unknown	131	161961	1236.34	0	3351
TE_00000074#Unknown	359	355020	988.91	83	1667
TE_00000075#Unknown	239	768328	3214.76	1369	3943
TE_00000076#Unknown	1138	1582754	1390.82	0	3019
TE_00000077#Unknown	921	1455768	1580.64	67	2064
TE_00000078#Unknown	333	18626	55.93	0	104
TE_00000079#Unknown	707	1700273	2404.91	4	4323
TE_00000080#Unknown	2708	9770467	3608.00	18	5887
TE_00000081#Unknown	358	3175262	8869.45	4222	10585
TE_00000082#Unknown	339	692987	2044.21	982	3560
TE_00000083#Unknown	803	6271039	7809.51	1043	16531
TE_00000084#Unknown	473	1805991	3818.16	609	9521
TE_00000085#Unknown	572	2299682	4020.42	27	4721
TE_00000086#Unknown	582	1493000	2565.29	5	5344
TE_00000087#Unknown	376	1119077	2976.27	1604	3554
TE_00000088#Unknown	945	2354237	2491.26	17	5317
TE_00000089#Unknown	1127	3987539	3538.19	224	6203
TE_00000090#LINE/unknown	902	478739	530.75	87	794
