chrom	length	bases	mean	min	max
TE_00000013#DNA/DTC	415	1957018	4715.71	0	5923
TE_00000023#DNA/DTC	383	2166613	5656.95	4605	6477
TE_00000051#DNA/DTC	2068	11939172	5773.29	452	6777
TE_00000060#DNA/DTC	197	1148866	5831.81	3720	6454
TE_00000196#DNA/DTM	367	152269	414.90	103	528
TE_00000249#DNA/DTC	752	4256893	5660.76	32	7332
TE_00000271#DNA/DTC	1458	2004278	1374.68	510	1733
TE_00000315#DNA/DTM	476	261703	549.80	7	881
TE_00000338#DNA/DTM	2339	540319	231.00	0	558
TE_00000352#DNA/DTM	1946	697290	358.32	0	575
TE_00000354#DNA/DTM	490	138680	283.02	0	435
TE_00000356#DNA/DTM	315	111182	352.96	0	460
TE_00000360#DNA/DTM	354	143234	404.62	81	476
TE_00000362#DNA/DTM	561	72833	129.83	3	229
TE_00000365#DNA/DTM	1399	922765	659.59	0	1127
TE_00000447#DNA/DTM	1286	641661	498.96	295	616
TE_00000479#DNA/DTM	227	194	0.85	0	2
TE_00000489#DNA/DTM	338	50152	148.38	1	239
TE_00000512#DNA/DTM	87	12058	138.60	81	166
TE_00000588#DNA/DTH	1813	3205522	1768.08	62	40411
TE_00000684#DNA/DTM	1249	511927	409.87	0	981
TE_00000735#TIR/Tc1_Mariner	1439	77851	54.10	0	156
TE_00000760#DNA/DTM	2970	12088	4.07	0	28
TE_00000764#DNA/DTM	521	33779	64.83	1	142
TE_00000765#DNA/DTT	2853	22283	7.81	0	152
TE_00000766#DNA/DTH	1967	254448	129.36	0	1645
TE_00000767#DNA/Helitron	13359	121307	9.08	0	420
TE_00000768#DNA/Helitron	11003	1480290	134.54	0	2531
TE_00000769#DNA/DTT	804	55263	68.74	0	501
TE_00000770#DNA/DTT	2047	18382	8.98	0	92
TE_00000771#DNA/DTC	3506	460890	131.46	0	813
TE_00000772#DNA/DTC	2193	25813	11.77	0	71
TE_00000773#DNA/Helitron	189	722	3.82	0	9
TE_00000774#DNA/DTT	1326	17804	13.43	0	199
TE_00000775#DNA/DTT	909	7259	7.99	0	19
TE_00000776#DNA/DTM	1029	21947	21.33	1	77
TE_00000777#DNA/Helitron	7760	162285	20.91	0	669
TE_00000778#DNA/DTT	2031	42291	20.82	0	144
TE_00000779#DNA/Helitron	5474	137708	25.16	0	605
TE_00000780#DNA/DTC	3893	796922	204.71	0	1716
TE_00000781#DNA/DTT	2260	21954	9.71	0	125
TE_00000782#DNA/DTH	1079	23390	21.68	0	60
TE_00000783#DNA/DTT	2195	52357	23.85	0	50
TE_00000784#DNA/DTM	706	11068	15.68	4	27
TE_00000785#DNA/Helitron	1991	6107	3.07	0	22
TE_00000786#DNA/DTT	2137	65161	30.49	1	177
TE_00000787#DNA/DTT	3347	100990	30.17	0	434
TE_00000788#DNA/DTM	2368	45076	19.04	0	138
TE_00000789#DNA/DTC	3966	111882	28.21	2	124
TE_00000790#DNA/Helitron	9257	552587	59.69	0	853
TE_00000791#DNA/DTC	2661	2116817	795.50	0	4106
TE_00000792#DNA/DTM	817	101632	124.40	0	829
TE_00000793#DNA/Helitron	5628	176967	31.44	0	785
TE_00000794#DNA/Helitron	607	7992	13.17	0	84
