chrom	length	bases	mean	min	max
TE_00000013#DNA/DTC	415	1282963	3091.48	0	3852
TE_00000023#DNA/DTC	383	1428352	3729.38	3030	4256
TE_00000051#DNA/DTC	2068	7955522	3846.96	310	4566
TE_00000060#DNA/DTC	197	756155	3838.35	2415	4241
TE_00000196#DNA/DTM	367	59144	161.16	39	331
TE_00000249#DNA/DTC	752	2830182	3763.54	21	4870
TE_00000271#DNA/DTC	1458	1273127	873.20	202	1127
TE_00000315#DNA/DTM	476	167036	350.92	5	572
TE_00000338#DNA/DTM	2339	343820	146.99	0	372
TE_00000352#DNA/DTM	1946	438162	225.16	0	359
TE_00000354#DNA/DTM	490	86881	177.31	0	273
TE_00000356#DNA/DTM	315	47568	151.01	0	263
TE_00000360#DNA/DTM	354	88935	251.23	43	302
TE_00000362#DNA/DTM	561	29965	53.41	0	79
TE_00000365#DNA/DTM	1399	587118	419.67	0	724
TE_00000447#DNA/DTM	1286	416272	323.70	212	389
TE_00000479#DNA/DTM	227	175	0.77	0	2
TE_00000489#DNA/DTM	338	32017	94.72	0	156
TE_00000512#DNA/DTM	87	7860	90.34	53	109
TE_00000588#DNA/DTH	1813	833122	459.53	28	3191
TE_00000684#DNA/DTM	1249	322090	257.88	0	638
TE_00000735#TIR/Tc1_Mariner	1439	48282	33.55	0	95
TE_00000760#DNA/DTM	2970	7820	2.63	0	18
TE_00000764#DNA/DTM	521	10492	20.14	0	47
TE_00000765#DNA/DTT	2853	10388	3.64	0	58
TE_00000766#DNA/DTH	1967	122931	62.50	0	772
TE_00000767#DNA/Helitron	13359	70665	5.29	0	121
TE_00000768#DNA/Helitron	11003	726324	66.01	0	1343
TE_00000769#DNA/DTT	804	22242	27.66	0	220
TE_00000770#DNA/DTT	2047	7748	3.79	0	20
TE_00000771#DNA/DTC	3506	125567	35.81	0	207
TE_00000772#DNA/DTC	2193	15704	7.16	0	33
TE_00000773#DNA/Helitron	189	510	2.70	0	5
TE_00000774#DNA/DTT	1326	8510	6.42	0	51
TE_00000775#DNA/DTT	909	4479	4.93	0	13
TE_00000776#DNA/DTM	1029	12924	12.56	1	44
TE_00000777#DNA/Helitron	7760	92743	11.95	0	332
TE_00000778#DNA/DTT	2031	27057	13.32	0	91
TE_00000779#DNA/Helitron	5474	66654	12.18	0	286
TE_00000780#DNA/DTC	3893	439761	112.96	0	643
TE_00000781#DNA/DTT	2260	8958	3.96	0	17
TE_00000782#DNA/DTH	1079	13617	12.62	0	36
TE_00000783#DNA/DTT	2195	31369	14.29	0	28
